INTERVALSTARTTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,MW
2022-04-05T00:00:00-00:00,2022-04-04,18,TH_SP15_GEN-APND,38.13611
2022-04-05T05:00:00-00:00,2022-04-04,23,TH_SP15_GEN-APND,55.80194
2022-04-05T02:00:00-00:00,2022-04-04,20,TH_SP15_GEN-APND,78.32153
2022-04-05T01:00:00-00:00,2022-04-04,19,TH_SP15_GEN-APND,62.87626
2022-04-05T04:00:00-00:00,2022-04-04,22,TH_SP15_GEN-APND,61.88506
2022-04-05T06:00:00-00:00,2022-04-04,24,TH_SP15_GEN-APND,51.75842
2022-04-05T03:00:00-00:00,2022-04-04,21,TH_SP15_GEN-APND,71.60999
2022-04-05T20:00:00-00:00,2022-04-05,14,TH_SP15_GEN-APND,9.83257
2022-04-05T10:00:00-00:00,2022-04-05,4,TH_SP15_GEN-APND,44.68614
2022-04-05T14:00:00-00:00,2022-04-05,8,TH_SP15_GEN-APND,58.61956
2022-04-05T23:00:00-00:00,2022-04-05,17,TH_SP15_GEN-APND,24.09516
2022-04-05T09:00:00-00:00,2022-04-05,3,TH_SP15_GEN-APND,44.94547
2022-04-05T12:00:00-00:00,2022-04-05,6,TH_SP15_GEN-APND,56.59214
2022-04-05T07:00:00-00:00,2022-04-05,1,TH_SP15_GEN-APND,47.92635
2022-04-05T08:00:00-00:00,2022-04-05,2,TH_SP15_GEN-APND,46.69549
2022-04-05T16:00:00-00:00,2022-04-05,10,TH_SP15_GEN-APND,16.30871
2022-04-05T22:00:00-00:00,2022-04-05,16,TH_SP15_GEN-APND,16.59965
2022-04-05T13:00:00-00:00,2022-04-05,7,TH_SP15_GEN-APND,72.39485
2022-04-05T21:00:00-00:00,2022-04-05,15,TH_SP15_GEN-APND,12.09394
2022-04-05T19:00:00-00:00,2022-04-05,13,TH_SP15_GEN-APND,10.39935
2022-04-05T18:00:00-00:00,2022-04-05,12,TH_SP15_GEN-APND,10.90445
2022-04-05T17:00:00-00:00,2022-04-05,11,TH_SP15_GEN-APND,10.92721
2022-04-05T11:00:00-00:00,2022-04-05,5,TH_SP15_GEN-APND,48.01283
2022-04-05T15:00:00-00:00,2022-04-05,9,TH_SP15_GEN-APND,33.1
2022-08-25T04:00:00-00:00,2022-08-24,22,TH_NP15_GEN-APND,123.00952
2022-08-25T05:00:00-00:00,2022-08-24,23,TH_NP15_GEN-APND,99.87051
2022-08-25T00:00:00-00:00,2022-08-24,18,TH_NP15_GEN-APND,131.07544
2022-08-25T02:00:00-00:00,2022-08-24,20,TH_NP15_GEN-APND,167.8318
2022-08-25T03:00:00-00:00,2022-08-24,21,TH_NP15_GEN-APND,135.0419
2022-08-25T01:00:00-00:00,2022-08-24,19,TH_NP15_GEN-APND,155.0923
2022-08-25T06:00:00-00:00,2022-08-24,24,TH_NP15_GEN-APND,96.02616
2022-08-25T13:00:00-00:00,2022-08-25,7,TH_NP15_GEN-APND,109.17869
2022-08-25T20:00:00-00:00,2022-08-25,14,TH_NP15_GEN-APND,92.75876
2022-08-25T14:00:00-00:00,2022-08-25,8,TH_NP15_GEN-APND,87.16054
2022-08-25T12:00:00-00:00,2022-08-25,6,TH_NP15_GEN-APND,89.77793
2022-08-25T10:00:00-00:00,2022-08-25,4,TH_NP15_GEN-APND,85.64
2022-08-25T09:00:00-00:00,2022-08-25,3,TH_NP15_GEN-APND,88.45345
2022-08-25T17:00:00-00:00,2022-08-25,11,TH_NP15_GEN-APND,75.70944
2022-08-25T22:00:00-00:00,2022-08-25,16,TH_NP15_GEN-APND,112.63462
2022-08-25T07:00:00-00:00,2022-08-25,1,TH_NP15_GEN-APND,95.61089
2022-08-25T16:00:00-00:00,2022-08-25,10,TH_NP15_GEN-APND,76.24966
2022-08-25T21:00:00-00:00,2022-08-25,15,TH_NP15_GEN-APND,100.65376
2022-08-25T18:00:00-00:00,2022-08-25,12,TH_NP15_GEN-APND,78.94264
2022-08-25T08:00:00-00:00,2022-08-25,2,TH_NP15_GEN-APND,89.5341
2022-08-25T23:00:00-00:00,2022-08-25,17,TH_NP15_GEN-APND,119.70157
2022-08-25T11:00:00-00:00,2022-08-25,5,TH_NP15_GEN-APND,86.67568
