"Step","olive-sweep-20 - Fall predictions (24h) Hub: NP15","olive-sweep-20 - Fall predictions (24h) Hub: NP15__MIN","olive-sweep-20 - Fall predictions (24h) Hub: NP15__MAX","olive-sweep-20 - Fall targets (24h) Hub: NP15","olive-sweep-20 - Fall targets (24h) Hub: NP15__MIN","olive-sweep-20 - Fall targets (24h) Hub: NP15__MAX","olive-sweep-20 - Fall predictions (24h) Hub: SP15","olive-sweep-20 - Fall predictions (24h) Hub: SP15__MIN","olive-sweep-20 - Fall predictions (24h) Hub: SP15__MAX","olive-sweep-20 - Fall targets (24h) Hub: SP15","olive-sweep-20 - Fall targets (24h) Hub: SP15__MIN","olive-sweep-20 - Fall targets (24h) Hub: SP15__MAX","olive-sweep-20 - Fall predictions (24h) Hub: ZP26","olive-sweep-20 - Fall predictions (24h) Hub: ZP26__MIN","olive-sweep-20 - Fall predictions (24h) Hub: ZP26__MAX","olive-sweep-20 - Fall targets (24h) Hub: ZP26","olive-sweep-20 - Fall targets (24h) Hub: ZP26__MIN","olive-sweep-20 - Fall targets (24h) Hub: ZP26__MAX","olive-sweep-20 - Winter predictions (24h) Hub: NP15","olive-sweep-20 - Winter predictions (24h) Hub: NP15__MIN","olive-sweep-20 - Winter predictions (24h) Hub: NP15__MAX","olive-sweep-20 - Winter targets (24h) Hub: NP15","olive-sweep-20 - Winter targets (24h) Hub: NP15__MIN","olive-sweep-20 - Winter targets (24h) Hub: NP15__MAX","olive-sweep-20 - Winter predictions (24h) Hub: SP15","olive-sweep-20 - Winter predictions (24h) Hub: SP15__MIN","olive-sweep-20 - Winter predictions (24h) Hub: SP15__MAX","olive-sweep-20 - Winter targets (24h) Hub: SP15","olive-sweep-20 - Winter targets (24h) Hub: SP15__MIN","olive-sweep-20 - Winter targets (24h) Hub: SP15__MAX","olive-sweep-20 - Winter predictions (24h) Hub: ZP26","olive-sweep-20 - Winter predictions (24h) Hub: ZP26__MIN","olive-sweep-20 - Winter predictions (24h) Hub: ZP26__MAX","olive-sweep-20 - Winter targets (24h) Hub: ZP26","olive-sweep-20 - Winter targets (24h) Hub: ZP26__MIN","olive-sweep-20 - Winter targets (24h) Hub: ZP26__MAX","olive-sweep-20 - Spring predictions (24h) Hub: NP15","olive-sweep-20 - Spring predictions (24h) Hub: NP15__MIN","olive-sweep-20 - Spring predictions (24h) Hub: NP15__MAX","olive-sweep-20 - Spring targets (24h) Hub: NP15","olive-sweep-20 - Spring targets (24h) Hub: NP15__MIN","olive-sweep-20 - Spring targets (24h) Hub: NP15__MAX","olive-sweep-20 - Spring predictions (24h) Hub: SP15","olive-sweep-20 - Spring predictions (24h) Hub: SP15__MIN","olive-sweep-20 - Spring predictions (24h) Hub: SP15__MAX","olive-sweep-20 - Spring targets (24h) Hub: SP15","olive-sweep-20 - Spring targets (24h) Hub: SP15__MIN","olive-sweep-20 - Spring targets (24h) Hub: SP15__MAX","olive-sweep-20 - Spring predictions (24h) Hub: ZP26","olive-sweep-20 - Spring predictions (24h) Hub: ZP26__MIN","olive-sweep-20 - Spring predictions (24h) Hub: ZP26__MAX","olive-sweep-20 - Spring targets (24h) Hub: ZP26","olive-sweep-20 - Spring targets (24h) Hub: ZP26__MIN","olive-sweep-20 - Spring targets (24h) Hub: ZP26__MAX","olive-sweep-20 - Summer predictions (24h) Hub: NP15","olive-sweep-20 - Summer predictions (24h) Hub: NP15__MIN","olive-sweep-20 - Summer predictions (24h) Hub: NP15__MAX","olive-sweep-20 - Summer targets (24h) Hub: NP15","olive-sweep-20 - Summer targets (24h) Hub: NP15__MIN","olive-sweep-20 - Summer targets (24h) Hub: NP15__MAX","olive-sweep-20 - Summer predictions (24h) Hub: SP15","olive-sweep-20 - Summer predictions (24h) Hub: SP15__MIN","olive-sweep-20 - Summer predictions (24h) Hub: SP15__MAX","olive-sweep-20 - Summer targets (24h) Hub: SP15","olive-sweep-20 - Summer targets (24h) Hub: SP15__MIN","olive-sweep-20 - Summer targets (24h) Hub: SP15__MAX","olive-sweep-20 - Summer predictions (24h) Hub: ZP26","olive-sweep-20 - Summer predictions (24h) Hub: ZP26__MIN","olive-sweep-20 - Summer predictions (24h) Hub: ZP26__MAX","olive-sweep-20 - Summer targets (24h) Hub: ZP26","olive-sweep-20 - Summer targets (24h) Hub: ZP26__MIN","olive-sweep-20 - Summer targets (24h) Hub: ZP26__MAX"
"0","30.20551109313965","30.20551109313965","30.20551109313965","28.270000457763672","28.270000457763672","28.270000457763672","26.886775970458984","26.886775970458984","26.886775970458984","27.450000762939453","27.450000762939453","27.450000762939453","27.208948135375977","27.208948135375977","27.208948135375977","27.610000610351562","27.610000610351562","27.610000610351562","10.920904159545898","10.920904159545898","10.920904159545898","7.71999979019165","7.71999979019165","7.71999979019165","10.611725807189941","10.611725807189941","10.611725807189941","7.380000114440918","7.380000114440918","7.380000114440918","10.770224571228027","10.770224571228027","10.770224571228027","7.409999847412109","7.409999847412109","7.409999847412109","7.639342308044434","7.639342308044434","7.639342308044434","6.449999809265137","6.449999809265137","6.449999809265137","6.949002742767334","6.949002742767334","6.949002742767334","4.5","4.5","4.5","7.329133987426758","7.329133987426758","7.329133987426758","4.800000190734863","4.800000190734863","4.800000190734863","22.698028564453125","22.698028564453125","22.698028564453125","15.8100004196167","15.8100004196167","15.8100004196167","23.19637107849121","23.19637107849121","23.19637107849121","16.229999542236328","16.229999542236328","16.229999542236328","21.500350952148438","21.500350952148438","21.500350952148438","15.34000015258789","15.34000015258789","15.34000015258789"
"1","30.575973510742188","30.575973510742188","30.575973510742188","29.34000015258789","29.34000015258789","29.34000015258789","27.19669532775879","27.19669532775879","27.19669532775879","28.729999542236328","28.729999542236328","28.729999542236328","27.447280883789062","27.447280883789062","27.447280883789062","28.809999465942383","28.809999465942383","28.809999465942383","11.299689292907715","11.299689292907715","11.299689292907715","7.900000095367432","7.900000095367432","7.900000095367432","10.999201774597168","10.999201774597168","10.999201774597168","7.389999866485596","7.389999866485596","7.389999866485596","11.165233612060547","11.165233612060547","11.165233612060547","7.46999979019165","7.46999979019165","7.46999979019165","13.155144691467285","13.155144691467285","13.155144691467285","22.010000228881836","22.010000228881836","22.010000228881836","12.606761932373047","12.606761932373047","12.606761932373047","16.809999465942383","16.809999465942383","16.809999465942383","12.791055679321289","12.791055679321289","12.791055679321289","17.40999984741211","17.40999984741211","17.40999984741211","22.753074645996094","22.753074645996094","22.753074645996094","19.1299991607666","19.1299991607666","19.1299991607666","23.224149703979492","23.224149703979492","23.224149703979492","20.239999771118164","20.239999771118164","20.239999771118164","21.61646270751953","21.61646270751953","21.61646270751953","19.530000686645508","19.530000686645508","19.530000686645508"
"2","27.313705444335938","27.313705444335938","27.313705444335938","29.860000610351562","29.860000610351562","29.860000610351562","23.596864700317383","23.596864700317383","23.596864700317383","28.020000457763672","28.020000457763672","28.020000457763672","23.965566635131836","23.965566635131836","23.965566635131836","28.469999313354492","28.469999313354492","28.469999313354492","12.000431060791016","12.000431060791016","12.000431060791016","8.630000114440918","8.630000114440918","8.630000114440918","11.693181037902832","11.693181037902832","11.693181037902832","8.100000381469727","8.100000381469727","8.100000381469727","11.876583099365234","11.876583099365234","11.876583099365234","8.1899995803833","8.1899995803833","8.1899995803833","19.164865493774414","19.164865493774414","19.164865493774414","19.479999542236328","19.479999542236328","19.479999542236328","18.7431583404541","18.7431583404541","18.7431583404541","19.049999237060547","19.049999237060547","19.049999237060547","18.733306884765625","18.733306884765625","18.733306884765625","19.329999923706055","19.329999923706055","19.329999923706055","21.71286392211914","21.71286392211914","21.71286392211914","17.889999389648438","17.889999389648438","17.889999389648438","22.085390090942383","22.085390090942383","22.085390090942383","18.079999923706055","18.079999923706055","18.079999923706055","20.713544845581055","20.713544845581055","20.713544845581055","17.829999923706055","17.829999923706055","17.829999923706055"
"3","27.69754409790039","27.69754409790039","27.69754409790039","23.34000015258789","23.34000015258789","23.34000015258789","23.909814834594727","23.909814834594727","23.909814834594727","21.670000076293945","21.670000076293945","21.670000076293945","24.19316291809082","24.19316291809082","24.19316291809082","21.309999465942383","21.309999465942383","21.309999465942383","12.995152473449707","12.995152473449707","12.995152473449707","11.550000190734863","11.550000190734863","11.550000190734863","12.670454978942871","12.670454978942871","12.670454978942871","11.050000190734863","11.050000190734863","11.050000190734863","12.883925437927246","12.883925437927246","12.883925437927246","11.170000076293945","11.170000076293945","11.170000076293945","22.847991943359375","22.847991943359375","22.847991943359375","32.06999969482422","32.06999969482422","32.06999969482422","22.486034393310547","22.486034393310547","22.486034393310547","31.920000076293945","31.920000076293945","31.920000076293945","22.358125686645508","22.358125686645508","22.358125686645508","32.40999984741211","32.40999984741211","32.40999984741211","19.86630630493164","19.86630630493164","19.86630630493164","18.170000076293945","18.170000076293945","18.170000076293945","20.107646942138672","20.107646942138672","20.107646942138672","18.440000534057617","18.440000534057617","18.440000534057617","19.031042098999023","19.031042098999023","19.031042098999023","18.139999389648438","18.139999389648438","18.139999389648438"
"4","26.64116668701172","26.64116668701172","26.64116668701172","19.700000762939453","19.700000762939453","19.700000762939453","22.668001174926758","22.668001174926758","22.668001174926758","17.219999313354492","17.219999313354492","17.219999313354492","22.99419593811035","22.99419593811035","22.99419593811035","17.65999984741211","17.65999984741211","17.65999984741211","14.35116195678711","14.35116195678711","14.35116195678711","16.799999237060547","16.799999237060547","16.799999237060547","14.00763988494873","14.00763988494873","14.00763988494873","16.559999465942383","16.559999465942383","16.559999465942383","14.265292167663574","14.265292167663574","14.265292167663574","16.670000076293945","16.670000076293945","16.670000076293945","22.719831466674805","22.719831466674805","22.719831466674805","22.549999237060547","22.549999237060547","22.549999237060547","22.347122192382812","22.347122192382812","22.347122192382812","22.100000381469727","22.100000381469727","22.100000381469727","22.199195861816406","22.199195861816406","22.199195861816406","22.59000015258789","22.59000015258789","22.59000015258789","19.037338256835938","19.037338256835938","19.037338256835938","17.200000762939453","17.200000762939453","17.200000762939453","19.224130630493164","19.224130630493164","19.224130630493164","17.149999618530273","17.149999618530273","17.149999618530273","18.231151580810547","18.231151580810547","18.231151580810547","16.959999084472656","16.959999084472656","16.959999084472656"
"5","25.337661743164062","25.337661743164062","25.337661743164062","20.40999984741211","20.40999984741211","20.40999984741211","21.236309051513672","21.236309051513672","21.236309051513672","14.520000457763672","14.520000457763672","14.520000457763672","21.591161727905273","21.591161727905273","21.591161727905273","13.949999809265137","13.949999809265137","13.949999809265137","15.508709907531738","15.508709907531738","15.508709907531738","17.93000030517578","17.93000030517578","17.93000030517578","15.14708423614502","15.14708423614502","15.14708423614502","18.31999969482422","18.31999969482422","18.31999969482422","15.442665100097656","15.442665100097656","15.442665100097656","18.219999313354492","18.219999313354492","18.219999313354492","21.434213638305664","21.434213638305664","21.434213638305664","20.709999084472656","20.709999084472656","20.709999084472656","20.925575256347656","20.925575256347656","20.925575256347656","20.209999084472656","20.209999084472656","20.209999084472656","20.84084701538086","20.84084701538086","20.84084701538086","20.649999618530273","20.649999618530273","20.649999618530273","18.290851593017578","18.290851593017578","18.290851593017578","17.25","17.25","17.25","18.429445266723633","18.429445266723633","18.429445266723633","17.34000015258789","17.34000015258789","17.34000015258789","17.499418258666992","17.499418258666992","17.499418258666992","17.110000610351562","17.110000610351562","17.110000610351562"
"6","28.016828536987305","28.016828536987305","28.016828536987305","22.299999237060547","22.299999237060547","22.299999237060547","23.94026756286621","23.94026756286621","23.94026756286621","20.81999969482422","20.81999969482422","20.81999969482422","24.147109985351562","24.147109985351562","24.147109985351562","20.770000457763672","20.770000457763672","20.770000457763672","15.843688011169434","15.843688011169434","15.843688011169434","17.979999542236328","17.979999542236328","17.979999542236328","15.464948654174805","15.464948654174805","15.464948654174805","18.280000686645508","18.280000686645508","18.280000686645508","15.768634796142578","15.768634796142578","15.768634796142578","18.239999771118164","18.239999771118164","18.239999771118164","19.10649871826172","19.10649871826172","19.10649871826172","20.8700008392334","20.8700008392334","20.8700008392334","18.450336456298828","18.450336456298828","18.450336456298828","20.299999237060547","20.299999237060547","20.299999237060547","18.448637008666992","18.448637008666992","18.448637008666992","20.65999984741211","20.65999984741211","20.65999984741211","17.98358154296875","17.98358154296875","17.98358154296875","17.6299991607666","17.6299991607666","17.6299991607666","18.10133934020996","18.10133934020996","18.10133934020996","17.639999389648438","17.639999389648438","17.639999389648438","17.16679573059082","17.16679573059082","17.16679573059082","17.440000534057617","17.440000534057617","17.440000534057617"
"7","29.07157325744629","29.07157325744629","29.07157325744629","26.920000076293945","26.920000076293945","26.920000076293945","24.966636657714844","24.966636657714844","24.966636657714844","24.780000686645508","24.780000686645508","24.780000686645508","25.10940170288086","25.10940170288086","25.10940170288086","24.860000610351562","24.860000610351562","24.860000610351562","16.239980697631836","16.239980697631836","16.239980697631836","17.360000610351562","17.360000610351562","17.360000610351562","15.851256370544434","15.851256370544434","15.851256370544434","17.540000915527344","17.540000915527344","17.540000915527344","16.162466049194336","16.162466049194336","16.162466049194336","17.559999465942383","17.559999465942383","17.559999465942383","18.64788055419922","18.64788055419922","18.64788055419922","19.239999771118164","19.239999771118164","19.239999771118164","17.877275466918945","17.877275466918945","17.877275466918945","18.549999237060547","18.549999237060547","18.549999237060547","17.930374145507812","17.930374145507812","17.930374145507812","18.93000030517578","18.93000030517578","18.93000030517578","17.404457092285156","17.404457092285156","17.404457092285156","15.770000457763672","15.770000457763672","15.770000457763672","17.492971420288086","17.492971420288086","17.492971420288086","15.970000267028809","15.970000267028809","15.970000267028809","16.59096336364746","16.59096336364746","16.59096336364746","15.710000038146973","15.710000038146973","15.710000038146973"
"8","32.14155578613281","32.14155578613281","32.14155578613281","29.889999389648438","29.889999389648438","29.889999389648438","28.212203979492188","28.212203979492188","28.212203979492188","26.790000915527344","26.790000915527344","26.790000915527344","28.099775314331055","28.099775314331055","28.099775314331055","27.190000534057617","27.190000534057617","27.190000534057617","16.479721069335938","16.479721069335938","16.479721069335938","15.90999984741211","15.90999984741211","15.90999984741211","16.086631774902344","16.086631774902344","16.086631774902344","15.979999542236328","15.979999542236328","15.979999542236328","16.39988136291504","16.39988136291504","16.39988136291504","16","16","16","15.901555061340332","15.901555061340332","15.901555061340332","16.200000762939453","16.200000762939453","16.200000762939453","15.189863204956055","15.189863204956055","15.189863204956055","15.5","15.5","15.5","15.24639892578125","15.24639892578125","15.24639892578125","15.829999923706055","15.829999923706055","15.829999923706055","16.588430404663086","16.588430404663086","16.588430404663086","10.960000038146973","10.960000038146973","10.960000038146973","16.623355865478516","16.623355865478516","16.623355865478516","11.020000457763672","11.020000457763672","11.020000457763672","15.77784538269043","15.77784538269043","15.77784538269043","10.819999694824219","10.819999694824219","10.819999694824219"
"9","35.464088439941406","35.464088439941406","35.464088439941406","30.850000381469727","30.850000381469727","30.850000381469727","31.801774978637695","31.801774978637695","31.801774978637695","28.75","28.75","28.75","31.44615936279297","31.44615936279297","31.44615936279297","28.540000915527344","28.540000915527344","28.540000915527344","16.56258201599121","16.56258201599121","16.56258201599121","14.880000114440918","14.880000114440918","14.880000114440918","16.17234992980957","16.17234992980957","16.17234992980957","14.800000190734863","14.800000190734863","14.800000190734863","16.47854232788086","16.47854232788086","16.47854232788086","14.859999656677246","14.859999656677246","14.859999656677246","15.452839851379395","15.452839851379395","15.452839851379395","15.970000267028809","15.970000267028809","15.970000267028809","14.702611923217773","14.702611923217773","14.702611923217773","15.149999618530273","15.149999618530273","15.149999618530273","14.807001113891602","14.807001113891602","14.807001113891602","15.550000190734863","15.550000190734863","15.550000190734863","16.23507308959961","16.23507308959961","16.23507308959961","3.369999885559082","3.369999885559082","3.369999885559082","16.259124755859375","16.259124755859375","16.259124755859375","3.3499999046325684","3.3499999046325684","3.3499999046325684","15.392448425292969","15.392448425292969","15.392448425292969","3.259999990463257","3.259999990463257","3.259999990463257"
