INTERVALSTARTTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,MW
2021-12-21T00:00:00-00:00,2021-12-20,17,TH_ZP26_GEN-APND,86.6619
2021-12-21T06:00:00-00:00,2021-12-20,23,TH_ZP26_GEN-APND,70.7642
2021-12-21T05:00:00-00:00,2021-12-20,22,TH_ZP26_GEN-APND,80.03908
2021-12-21T01:00:00-00:00,2021-12-20,18,TH_ZP26_GEN-APND,112.8182
2021-12-21T07:00:00-00:00,2021-12-20,24,TH_ZP26_GEN-APND,60.59627
2021-12-21T02:00:00-00:00,2021-12-20,19,TH_ZP26_GEN-APND,97.74126
2021-12-21T03:00:00-00:00,2021-12-20,20,TH_ZP26_GEN-APND,88.35158
2021-12-21T04:00:00-00:00,2021-12-20,21,TH_ZP26_GEN-APND,86.46966
2021-12-21T18:00:00-00:00,2021-12-21,11,TH_ZP26_GEN-APND,55.13748
2021-12-21T19:00:00-00:00,2021-12-21,12,TH_ZP26_GEN-APND,54.0962
2021-12-21T13:00:00-00:00,2021-12-21,6,TH_ZP26_GEN-APND,67.64886
2021-12-21T11:00:00-00:00,2021-12-21,4,TH_ZP26_GEN-APND,60.10594
2021-12-21T08:00:00-00:00,2021-12-21,1,TH_ZP26_GEN-APND,68.71532
2021-12-21T23:00:00-00:00,2021-12-21,16,TH_ZP26_GEN-APND,65.44639
2021-12-21T20:00:00-00:00,2021-12-21,13,TH_ZP26_GEN-APND,51.71267
2021-12-21T15:00:00-00:00,2021-12-21,8,TH_ZP26_GEN-APND,92.74802
2021-12-21T10:00:00-00:00,2021-12-21,3,TH_ZP26_GEN-APND,59.6555
2021-12-21T21:00:00-00:00,2021-12-21,14,TH_ZP26_GEN-APND,52.56505
2021-12-21T14:00:00-00:00,2021-12-21,7,TH_ZP26_GEN-APND,78.95097
2021-12-21T17:00:00-00:00,2021-12-21,10,TH_ZP26_GEN-APND,61.50429
2021-12-21T16:00:00-00:00,2021-12-21,9,TH_ZP26_GEN-APND,73.15726
2021-12-21T22:00:00-00:00,2021-12-21,15,TH_ZP26_GEN-APND,55.02824
2021-12-21T12:00:00-00:00,2021-12-21,5,TH_ZP26_GEN-APND,63.8313
2021-12-21T09:00:00-00:00,2021-12-21,2,TH_ZP26_GEN-APND,62.28223
2021-10-19T00:00:00-00:00,2021-10-18,18,TH_NP15_GEN-APND,81.06
