hour,DAM_SP15,DAM_NP15,DAM_ZP26
2021-12-26 04:00:00,68.13635,68.17847,67.39917
2021-12-26 05:00:00,66.04812,66.00745,65.17363
2021-12-26 02:00:00,74.77618,75.16238,73.93427
2021-12-26 06:00:00,61.058,60.39879,59.73336
2021-12-26 00:00:00,70.48375,70.61406,69.50642
2021-12-26 01:00:00,84.38,85.06907,83.54265
2021-12-26 03:00:00,70.69621,70.7399,69.68408
2021-12-26 07:00:00,57.81189,57.96551,56.78386
2021-12-26 19:00:00,22.91889,28.40912,20.44883
2021-12-26 20:00:00,20.09012,27.61619,21.42926
2021-12-26 12:00:00,46.99156,47.65158,46.4568
2021-12-26 13:00:00,51.71,52.95525,51.34281
2021-12-26 18:00:00,26.97337,31.58863,25.72694
2021-12-26 22:00:00,28.83058,31.89094,28.92341
2021-12-26 10:00:00,45.81755,46.41417,45.23033
2021-12-26 14:00:00,63.59918,65.4356,63.26469
2021-12-26 17:00:00,35.16536,38.8231,35.17663
2021-12-26 09:00:00,45.74631,46.67,45.31745
2021-12-26 23:00:00,51.93902,55.06781,51.7206
2021-12-26 15:00:00,58.59983,60.49522,58.28494
2021-12-26 16:00:00,46.73277,50.03781,46.69343
2021-12-26 08:00:00,49.15486,49.93501,48.74451
2021-12-26 21:00:00,22.21,24.85313,22.30354
2021-12-26 11:00:00,45.46587,46.1,44.85972
2021-12-02 01:00:00,83.21444,84.18248,85.39933
2021-12-02 00:00:00,75.0,75.74153,75.67325
2021-12-02 06:00:00,51.56582,51.49151,50.70594
2021-12-02 03:00:00,69.49824,69.36269,69.50303
2021-12-02 07:00:00,46.95165,46.53797,45.99924
2021-12-02 05:00:00,54.60735,54.43898,53.76551
2021-12-02 04:00:00,63.46686,63.06893,62.29916
2021-12-02 02:00:00,72.73,72.45412,72.73
2021-12-02 18:00:00,27.64787,34.48404,30.83782
2021-12-02 15:00:00,49.82558,53.19003,50.90876
2021-12-02 23:00:00,48.5605,51.0,53.46266
2021-12-02 21:00:00,28.43789,34.42573,31.06495
2021-12-02 17:00:00,32.20076,39.71749,28.25133
2021-12-02 16:00:00,36.17287,40.82462,39.00941
2021-12-02 19:00:00,25.44906,32.01386,28.41466
2021-12-02 20:00:00,26.49869,32.54562,29.64331
2021-12-02 13:00:00,48.88135,49.68647,48.23724
2021-12-02 14:00:00,64.97201,66.26454,64.5071
2021-12-02 12:00:00,43.20389,43.54512,42.51699
2021-12-02 08:00:00,45.45164,46.23787,44.82997
2021-12-02 11:00:00,41.59553,42.18115,41.0142
2021-12-02 10:00:00,41.67449,42.08922,40.93908
2021-12-02 22:00:00,32.69287,37.24712,35.91024
2021-12-02 09:00:00,43.59609,43.80152,42.79223
2021-12-24 07:00:00,66.50701,65.97033,65.63746
2021-12-24 04:00:00,78.03935,78.61276,77.71631
2021-12-24 05:00:00,73.51,73.57819,72.90386
2021-12-24 02:00:00,86.10667,86.06237,86.10667
2021-12-24 06:00:00,70.00723,69.31303,68.65461
2021-12-24 00:00:00,84.40842,85.19459,83.7358
2021-12-24 03:00:00,80.78092,80.76344,80.78092
2021-12-24 01:00:00,97.67,99.12457,97.24278
2021-12-24 15:00:00,63.88,64.85206,63.47935
2021-12-24 23:00:00,54.42098,56.19404,54.11509
2021-12-24 12:00:00,54.62451,54.02071,53.53878
2021-12-24 13:00:00,56.10054,55.77,55.13742
2021-12-24 17:00:00,59.49711,61.21772,58.89056
2021-12-24 18:00:00,53.0078,54.83833,52.50455
2021-12-24 21:00:00,46.74105,48.66574,46.31498
2021-12-24 19:00:00,50.47276,52.42337,50.04457
