"Step","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: SP15__MAX"
"0","10.808741569519043","10.808741569519043","10.808741569519043","11.29592514038086","11.29592514038086","11.29592514038086","6.720759391784668","6.720759391784668","6.720759391784668","10.051909446716309","10.051909446716309","10.051909446716309","5.704590797424316","5.704590797424316","5.704590797424316","7.380000114440918","7.380000114440918","7.380000114440918"
"1","11.438552856445312","11.438552856445312","11.438552856445312","11.973466873168945","11.973466873168945","11.973466873168945","7.140109062194824","7.140109062194824","7.140109062194824","10.253792762756348","10.253792762756348","10.253792762756348","6.2636871337890625","6.2636871337890625","6.2636871337890625","7.389999866485596","7.389999866485596","7.389999866485596"
"2","12.163509368896484","12.163509368896484","12.163509368896484","12.75771713256836","12.75771713256836","12.75771713256836","8.935604095458984","8.935604095458984","8.935604095458984","10.769196510314941","10.769196510314941","10.769196510314941","7.677474021911621","7.677474021911621","7.677474021911621","8.100000381469727","8.100000381469727","8.100000381469727"
"3","13.059279441833496","13.059279441833496","13.059279441833496","13.491950988769531","13.491950988769531","13.491950988769531","13.691085815429688","13.691085815429688","13.691085815429688","11.706375122070312","11.706375122070312","11.706375122070312","10.702032089233398","10.702032089233398","10.702032089233398","11.050000190734863","11.050000190734863","11.050000190734863"
"4","14.187698364257812","14.187698364257812","14.187698364257812","14.457443237304688","14.457443237304688","14.457443237304688","22.97357749938965","22.97357749938965","22.97357749938965","13.118380546569824","13.118380546569824","13.118380546569824","17.737592697143555","17.737592697143555","17.737592697143555","16.559999465942383","16.559999465942383","16.559999465942383"
"5","15.201786994934082","15.201786994934082","15.201786994934082","15.464010238647461","15.464010238647461","15.464010238647461","26.36113739013672","26.36113739013672","26.36113739013672","14.663521766662598","14.663521766662598","14.663521766662598","22.565881729125977","22.565881729125977","22.565881729125977","18.31999969482422","18.31999969482422","18.31999969482422"
"6","15.639618873596191","15.639618873596191","15.639618873596191","15.769344329833984","15.769344329833984","15.769344329833984","25.246307373046875","25.246307373046875","25.246307373046875","15.361075401306152","15.361075401306152","15.361075401306152","22.002410888671875","22.002410888671875","22.002410888671875","18.280000686645508","18.280000686645508","18.280000686645508"
"7","16.001882553100586","16.001882553100586","16.001882553100586","16.104000091552734","16.104000091552734","16.104000091552734","23.084609985351562","23.084609985351562","23.084609985351562","15.979551315307617","15.979551315307617","15.979551315307617","21.018932342529297","21.018932342529297","21.018932342529297","17.540000915527344","17.540000915527344","17.540000915527344"
"8","16.19465446472168","16.19465446472168","16.19465446472168","16.260419845581055","16.260419845581055","16.260419845581055","20.264995574951172","20.264995574951172","20.264995574951172","16.33765411376953","16.33765411376953","16.33765411376953","18.450862884521484","18.450862884521484","18.450862884521484","15.979999542236328","15.979999542236328","15.979999542236328"
"9","16.1658935546875","16.1658935546875","16.1658935546875","16.252592086791992","16.252592086791992","16.252592086791992","18.355195999145508","18.355195999145508","18.355195999145508","16.51810646057129","16.51810646057129","16.51810646057129","16.649593353271484","16.649593353271484","16.649593353271484","14.800000190734863","14.800000190734863","14.800000190734863"
"10","16.118701934814453","16.118701934814453","16.118701934814453","16.315622329711914","16.315622329711914","16.315622329711914","16.086017608642578","16.086017608642578","16.086017608642578","16.61016082763672","16.61016082763672","16.61016082763672","15.025506973266602","15.025506973266602","15.025506973266602","14.029999732971191","14.029999732971191","14.029999732971191"
"11","16.02261734008789","16.02261734008789","16.02261734008789","16.252540588378906","16.252540588378906","16.252540588378906","14.799586296081543","14.799586296081543","14.799586296081543","16.615310668945312","16.615310668945312","16.615310668945312","14.495405197143555","14.495405197143555","14.495405197143555","12.890000343322754","12.890000343322754","12.890000343322754"
"12","15.697498321533203","15.697498321533203","15.697498321533203","15.785194396972656","15.785194396972656","15.785194396972656","14.235411643981934","14.235411643981934","14.235411643981934","16.23581314086914","16.23581314086914","16.23581314086914","14.368253707885742","14.368253707885742","14.368253707885742","15.520000457763672","15.520000457763672","15.520000457763672"
"13","15.205378532409668","15.205378532409668","15.205378532409668","15.252439498901367","15.252439498901367","15.252439498901367","13.07627010345459","13.07627010345459","13.07627010345459","15.728412628173828","15.728412628173828","15.728412628173828","13.784582138061523","13.784582138061523","13.784582138061523","14.8100004196167","14.8100004196167","14.8100004196167"
