"Step","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: NP15__MAX"
"0","11.329010963439941","11.329010963439941","11.329010963439941","11.717893600463867","11.717893600463867","11.717893600463867","8.382671356201172","8.382671356201172","8.382671356201172","10.205835342407227","10.205835342407227","10.205835342407227","7.1461687088012695","7.1461687088012695","7.1461687088012695","7.71999979019165","7.71999979019165","7.71999979019165"
"1","11.964845657348633","11.964845657348633","11.964845657348633","12.40507984161377","12.40507984161377","12.40507984161377","8.58749008178711","8.58749008178711","8.58749008178711","10.399055480957031","10.399055480957031","10.399055480957031","7.467565059661865","7.467565059661865","7.467565059661865","7.900000095367432","7.900000095367432","7.900000095367432"
"2","12.700257301330566","12.700257301330566","12.700257301330566","13.201839447021484","13.201839447021484","13.201839447021484","10.129537582397461","10.129537582397461","10.129537582397461","10.903746604919434","10.903746604919434","10.903746604919434","8.610482215881348","8.610482215881348","8.610482215881348","8.630000114440918","8.630000114440918","8.630000114440918"
"3","13.606962203979492","13.606962203979492","13.606962203979492","13.946860313415527","13.946860313415527","13.946860313415527","14.674354553222656","14.674354553222656","14.674354553222656","11.83229923248291","11.83229923248291","11.83229923248291","11.356576919555664","11.356576919555664","11.356576919555664","11.550000190734863","11.550000190734863","11.550000190734863"
"4","14.754854202270508","14.754854202270508","14.754854202270508","14.934065818786621","14.934065818786621","14.934065818786621","24.072099685668945","24.072099685668945","24.072099685668945","13.23224925994873","13.23224925994873","13.23224925994873","18.29899787902832","18.29899787902832","18.29899787902832","16.799999237060547","16.799999237060547","16.799999237060547"
"5","15.783719062805176","15.783719062805176","15.783719062805176","15.956342697143555","15.956342697143555","15.956342697143555","27.580106735229492","27.580106735229492","27.580106735229492","14.745341300964355","14.745341300964355","14.745341300964355","23.15625","23.15625","23.15625","17.93000030517578","17.93000030517578","17.93000030517578"
"6","16.228899002075195","16.228899002075195","16.228899002075195","16.258487701416016","16.258487701416016","16.258487701416016","26.500934600830078","26.500934600830078","26.500934600830078","15.42712116241455","15.42712116241455","15.42712116241455","22.60500144958496","22.60500144958496","22.60500144958496","17.979999542236328","17.979999542236328","17.979999542236328"
"7","16.594257354736328","16.594257354736328","16.594257354736328","16.588224411010742","16.588224411010742","16.588224411010742","24.264984130859375","24.264984130859375","24.264984130859375","16.02989387512207","16.02989387512207","16.02989387512207","21.590932846069336","21.590932846069336","21.590932846069336","17.360000610351562","17.360000610351562","17.360000610351562"
"8","16.781707763671875","16.781707763671875","16.781707763671875","16.74298858642578","16.74298858642578","16.74298858642578","21.271711349487305","21.271711349487305","21.271711349487305","16.37661361694336","16.37661361694336","16.37661361694336","18.84408187866211","18.84408187866211","18.84408187866211","15.90999984741211","15.90999984741211","15.90999984741211"
"9","16.74795913696289","16.74795913696289","16.74795913696289","16.73217010498047","16.73217010498047","16.73217010498047","19.172283172607422","19.172283172607422","19.172283172607422","16.552352905273438","16.552352905273438","16.552352905273438","16.81478500366211","16.81478500366211","16.81478500366211","14.880000114440918","14.880000114440918","14.880000114440918"
"10","16.705842971801758","16.705842971801758","16.705842971801758","16.79745864868164","16.79745864868164","16.79745864868164","16.644643783569336","16.644643783569336","16.644643783569336","16.636554718017578","16.636554718017578","16.636554718017578","14.969245910644531","14.969245910644531","14.969245910644531","14.229999542236328","14.229999542236328","14.229999542236328"
"11","16.613332748413086","16.613332748413086","16.613332748413086","16.732498168945312","16.732498168945312","16.732498168945312","15.141966819763184","15.141966819763184","15.141966819763184","16.6402587890625","16.6402587890625","16.6402587890625","14.295723915100098","14.295723915100098","14.295723915100098","13.020000457763672","13.020000457763672","13.020000457763672"
"12","16.278200149536133","16.278200149536133","16.278200149536133","16.252582550048828","16.252582550048828","16.252582550048828","14.471874237060547","14.471874237060547","14.471874237060547","16.271434783935547","16.271434783935547","16.271434783935547","14.092681884765625","14.092681884765625","14.092681884765625","15.569999694824219","15.569999694824219","15.569999694824219"
"13","15.786170959472656","15.786170959472656","15.786170959472656","15.71823501586914","15.71823501586914","15.71823501586914","13.243002891540527","13.243002891540527","13.243002891540527","15.782102584838867","15.782102584838867","15.782102584838867","13.477946281433105","13.477946281433105","13.477946281433105","14.760000228881836","14.760000228881836","14.760000228881836"
"14","15.332578659057617","15.332578659057617","15.332578659057617","15.227444648742676","15.227444648742676","15.227444648742676","13.11678695678711","13.11678695678711","13.11678695678711","15.27838134765625","15.27838134765625","15.27838134765625","13.885477066040039","13.885477066040039","13.885477066040039","14.520000457763672","14.520000457763672","14.520000457763672"
"15","14.86032485961914","14.86032485961914","14.86032485961914","14.779216766357422","14.779216766357422","14.779216766357422","13.768440246582031","13.768440246582031","13.768440246582031","14.725662231445312","14.725662231445312","14.725662231445312","14.529147148132324","14.529147148132324","14.529147148132324","14.279999732971191","14.279999732971191","14.279999732971191"
