"Step","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 1 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 2 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 3 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 4 - Winter predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Winter targets (24h) Hub: ZP26__MAX"
"0","11.205713272094727","11.205713272094727","11.205713272094727","11.60359001159668","11.60359001159668","11.60359001159668","7.303952693939209","7.303952693939209","7.303952693939209","10.042203903198242","10.042203903198242","10.042203903198242","5.968216419219971","5.968216419219971","5.968216419219971","7.409999847412109","7.409999847412109","7.409999847412109"
"1","11.849878311157227","11.849878311157227","11.849878311157227","12.293214797973633","12.293214797973633","12.293214797973633","7.616729259490967","7.616729259490967","7.616729259490967","10.241047859191895","10.241047859191895","10.241047859191895","6.403027057647705","6.403027057647705","6.403027057647705","7.46999979019165","7.46999979019165","7.46999979019165"
"2","12.590097427368164","12.590097427368164","12.590097427368164","13.094343185424805","13.094343185424805","13.094343185424805","9.371883392333984","9.371883392333984","9.371883392333984","10.748486518859863","10.748486518859863","10.748486518859863","7.731494903564453","7.731494903564453","7.731494903564453","8.1899995803833","8.1899995803833","8.1899995803833"
"3","13.499902725219727","13.499902725219727","13.499902725219727","13.846172332763672","13.846172332763672","13.846172332763672","14.340214729309082","14.340214729309082","14.340214729309082","11.67916202545166","11.67916202545166","11.67916202545166","10.798015594482422","10.798015594482422","10.798015594482422","11.170000076293945","11.170000076293945","11.170000076293945"
"4","14.644670486450195","14.644670486450195","14.644670486450195","14.827788352966309","14.827788352966309","14.827788352966309","24.516695022583008","24.516695022583008","24.516695022583008","13.085938453674316","13.085938453674316","13.085938453674316","18.41063690185547","18.41063690185547","18.41063690185547","16.670000076293945","16.670000076293945","16.670000076293945"
"5","15.676481246948242","15.676481246948242","15.676481246948242","15.8436279296875","15.8436279296875","15.8436279296875","28.541912078857422","28.541912078857422","28.541912078857422","14.624069213867188","14.624069213867188","14.624069213867188","23.8884334564209","23.8884334564209","23.8884334564209","18.219999313354492","18.219999313354492","18.219999313354492"
"6","16.113435745239258","16.113435745239258","16.113435745239258","16.159191131591797","16.159191131591797","16.159191131591797","27.525630950927734","27.525630950927734","27.525630950927734","15.313011169433594","15.313011169433594","15.313011169433594","23.431982040405273","23.431982040405273","23.431982040405273","18.239999771118164","18.239999771118164","18.239999771118164"
"7","16.477859497070312","16.477859497070312","16.477859497070312","16.497678756713867","16.497678756713867","16.497678756713867","25.110437393188477","25.110437393188477","25.110437393188477","15.928324699401855","15.928324699401855","15.928324699401855","22.341716766357422","22.341716766357422","22.341716766357422","17.559999465942383","17.559999465942383","17.559999465942383"
"8","16.666616439819336","16.666616439819336","16.666616439819336","16.660310745239258","16.660310745239258","16.660310745239258","21.795673370361328","21.795673370361328","21.795673370361328","16.285444259643555","16.285444259643555","16.285444259643555","19.279464721679688","19.279464721679688","19.279464721679688","16","16","16"
"9","16.629791259765625","16.629791259765625","16.629791259765625","16.656192779541016","16.656192779541016","16.656192779541016","19.432912826538086","19.432912826538086","19.432912826538086","16.45326805114746","16.45326805114746","16.45326805114746","17.008779525756836","17.008779525756836","17.008779525756836","14.859999656677246","14.859999656677246","14.859999656677246"
