"Step","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: NP15__MAX"
"0","2.7035436630249023","2.7035436630249023","2.7035436630249023","5.190331935882568","5.190331935882568","5.190331935882568","5.00922155380249","5.00922155380249","5.00922155380249","5.556540489196777","5.556540489196777","5.556540489196777","10.158778190612793","10.158778190612793","10.158778190612793","6.449999809265137","6.449999809265137","6.449999809265137"
"1","10.565975189208984","10.565975189208984","10.565975189208984","11.214791297912598","11.214791297912598","11.214791297912598","9.312934875488281","9.312934875488281","9.312934875488281","11.800019264221191","11.800019264221191","11.800019264221191","15.10509967803955","15.10509967803955","15.10509967803955","22.010000228881836","22.010000228881836","22.010000228881836"
"2","20.02651596069336","20.02651596069336","20.02651596069336","18.676620483398438","18.676620483398438","18.676620483398438","15.203848838806152","15.203848838806152","15.203848838806152","20.599050521850586","20.599050521850586","20.599050521850586","20.802993774414062","20.802993774414062","20.802993774414062","19.479999542236328","19.479999542236328","19.479999542236328"
"3","24.628955841064453","24.628955841064453","24.628955841064453","22.842254638671875","22.842254638671875","22.842254638671875","20.860502243041992","20.860502243041992","20.860502243041992","24.135616302490234","24.135616302490234","24.135616302490234","23.36793327331543","23.36793327331543","23.36793327331543","32.06999969482422","32.06999969482422","32.06999969482422"
"4","25.4632625579834","25.4632625579834","25.4632625579834","23.184696197509766","23.184696197509766","23.184696197509766","22.638809204101562","22.638809204101562","22.638809204101562","23.260223388671875","23.260223388671875","23.260223388671875","23.568992614746094","23.568992614746094","23.568992614746094","22.549999237060547","22.549999237060547","22.549999237060547"
"5","23.62749481201172","23.62749481201172","23.62749481201172","21.270042419433594","21.270042419433594","21.270042419433594","21.585317611694336","21.585317611694336","21.585317611694336","21.532772064208984","21.532772064208984","21.532772064208984","22.554624557495117","22.554624557495117","22.554624557495117","20.709999084472656","20.709999084472656","20.709999084472656"
"6","20.015623092651367","20.015623092651367","20.015623092651367","18.721027374267578","18.721027374267578","18.721027374267578","19.924396514892578","19.924396514892578","19.924396514892578","18.391544342041016","18.391544342041016","18.391544342041016","20.22695541381836","20.22695541381836","20.22695541381836","20.8700008392334","20.8700008392334","20.8700008392334"
"7","17.827451705932617","17.827451705932617","17.827451705932617","16.516124725341797","16.516124725341797","16.516124725341797","18.386049270629883","18.386049270629883","18.386049270629883","16.114337921142578","16.114337921142578","16.114337921142578","17.627058029174805","17.627058029174805","17.627058029174805","19.239999771118164","19.239999771118164","19.239999771118164"
"8","16.187843322753906","16.187843322753906","16.187843322753906","15.28784465789795","15.28784465789795","15.28784465789795","15.001152038574219","15.001152038574219","15.001152038574219","15.085824966430664","15.085824966430664","15.085824966430664","14.717552185058594","14.717552185058594","14.717552185058594","16.200000762939453","16.200000762939453","16.200000762939453"
"9","16.365068435668945","16.365068435668945","16.365068435668945","14.574736595153809","14.574736595153809","14.574736595153809","13.975227355957031","13.975227355957031","13.975227355957031","14.556736946105957","14.556736946105957","14.556736946105957","14.630722045898438","14.630722045898438","14.630722045898438","15.970000267028809","15.970000267028809","15.970000267028809"
"10","17.34795570373535","17.34795570373535","17.34795570373535","14.920591354370117","14.920591354370117","14.920591354370117","14.015997886657715","14.015997886657715","14.015997886657715","14.786565780639648","14.786565780639648","14.786565780639648","15.307700157165527","15.307700157165527","15.307700157165527","14.449999809265137","14.449999809265137","14.449999809265137"
"11","18.502548217773438","18.502548217773438","18.502548217773438","15.48961067199707","15.48961067199707","15.48961067199707","15.224405288696289","15.224405288696289","15.224405288696289","15.464957237243652","15.464957237243652","15.464957237243652","17.367464065551758","17.367464065551758","17.367464065551758","15.3100004196167","15.3100004196167","15.3100004196167"
"12","19.775957107543945","19.775957107543945","19.775957107543945","17.15265655517578","17.15265655517578","17.15265655517578","17.093807220458984","17.093807220458984","17.093807220458984","16.449817657470703","16.449817657470703","16.449817657470703","19.390335083007812","19.390335083007812","19.390335083007812","17.68000030517578","17.68000030517578","17.68000030517578"
"13","21.31161117553711","21.31161117553711","21.31161117553711","18.708011627197266","18.708011627197266","18.708011627197266","18.965269088745117","18.965269088745117","18.965269088745117","17.646381378173828","17.646381378173828","17.646381378173828","20.497207641601562","20.497207641601562","20.497207641601562","19.420000076293945","19.420000076293945","19.420000076293945"
"14","21.7388858795166","21.7388858795166","21.7388858795166","18.689804077148438","18.689804077148438","18.689804077148438","19.397891998291016","19.397891998291016","19.397891998291016","18.929948806762695","18.929948806762695","18.929948806762695","19.633249282836914","19.633249282836914","19.633249282836914","25.1200008392334","25.1200008392334","25.1200008392334"
"15","18.087602615356445","18.087602615356445","18.087602615356445","16.666400909423828","16.666400909423828","16.666400909423828","17.850494384765625","17.850494384765625","17.850494384765625","16.903860092163086","16.903860092163086","16.903860092163086","17.621891021728516","17.621891021728516","17.621891021728516","21.3799991607666","21.3799991607666","21.3799991607666"
"16","14.634965896606445","14.634965896606445","14.634965896606445","14.605544090270996","14.605544090270996","14.605544090270996","16.087068557739258","16.087068557739258","16.087068557739258","14.499990463256836","14.499990463256836","14.499990463256836","15.71051025390625","15.71051025390625","15.71051025390625","14.180000305175781","14.180000305175781","14.180000305175781"
"17","14.118094444274902","14.118094444274902","14.118094444274902","14.452300071716309","14.452300071716309","14.452300071716309","14.804471969604492","14.804471969604492","14.804471969604492","13.194311141967773","13.194311141967773","13.194311141967773","14.416764259338379","14.416764259338379","14.416764259338379","18.649999618530273","18.649999618530273","18.649999618530273"
"18","14.55394172668457","14.55394172668457","14.55394172668457","14.43503189086914","14.43503189086914","14.43503189086914","13.785680770874023","13.785680770874023","13.785680770874023","13.320871353149414","13.320871353149414","13.320871353149414","13.735157012939453","13.735157012939453","13.735157012939453","27.610000610351562","27.610000610351562","27.610000610351562"
"19","12.961366653442383","12.961366653442383","12.961366653442383","12.159844398498535","12.159844398498535","12.159844398498535","11.978797912597656","11.978797912597656","11.978797912597656","11.85805892944336","11.85805892944336","11.85805892944336","12.049180030822754","12.049180030822754","12.049180030822754","26.920000076293945","26.920000076293945","26.920000076293945"
"20","12.03359603881836","12.03359603881836","12.03359603881836","11.633336067199707","11.633336067199707","11.633336067199707","11.208891868591309","11.208891868591309","11.208891868591309","10.63392448425293","10.63392448425293","10.63392448425293","11.191815376281738","11.191815376281738","11.191815376281738","21.34000015258789","21.34000015258789","21.34000015258789"
"21","11.88360595703125","11.88360595703125","11.88360595703125","11.27542781829834","11.27542781829834","11.27542781829834","10.598932266235352","10.598932266235352","10.598932266235352","10.541976928710938","10.541976928710938","10.541976928710938","10.793700218200684","10.793700218200684","10.793700218200684","20.690000534057617","20.690000534057617","20.690000534057617"
"22","12.251874923706055","12.251874923706055","12.251874923706055","11.220520973205566","11.220520973205566","11.220520973205566","9.95191478729248","9.95191478729248","9.95191478729248","11.157560348510742","11.157560348510742","11.157560348510742","10.946473121643066","10.946473121643066","10.946473121643066","21.079999923706055","21.079999923706055","21.079999923706055"
"23","12.718549728393555","12.718549728393555","12.718549728393555","12.56513786315918","12.56513786315918","12.56513786315918","9.889731407165527","9.889731407165527","9.889731407165527","11.53403091430664","11.53403091430664","11.53403091430664","11.24492359161377","11.24492359161377","11.24492359161377","14.989999771118164","14.989999771118164","14.989999771118164"
"24","14.601913452148438","14.601913452148438","14.601913452148438","14.140568733215332","14.140568733215332","14.140568733215332","12.709118843078613","12.709118843078613","12.709118843078613","13.617114067077637","13.617114067077637","13.617114067077637","13.104933738708496","13.104933738708496","13.104933738708496","12.869999885559082","12.869999885559082","12.869999885559082"
"25","19.621814727783203","19.621814727783203","19.621814727783203","18.13953971862793","18.13953971862793","18.13953971862793","16.518280029296875","16.518280029296875","16.518280029296875","16.673540115356445","16.673540115356445","16.673540115356445","16.626174926757812","16.626174926757812","16.626174926757812","20.829999923706055","20.829999923706055","20.829999923706055"
"26","25.65505027770996","25.65505027770996","25.65505027770996","23.490751266479492","23.490751266479492","23.490751266479492","21.8887996673584","21.8887996673584","21.8887996673584","21.436695098876953","21.436695098876953","21.436695098876953","22.095481872558594","22.095481872558594","22.095481872558594","24.670000076293945","24.670000076293945","24.670000076293945"
"27","27.498659133911133","27.498659133911133","27.498659133911133","24.791494369506836","24.791494369506836","24.791494369506836","25.14225196838379","25.14225196838379","25.14225196838379","24.96808624267578","24.96808624267578","24.96808624267578","25.73980140686035","25.73980140686035","25.73980140686035","38.41999816894531","38.41999816894531","38.41999816894531"
"28","22.913808822631836","22.913808822631836","22.913808822631836","22.431297302246094","22.431297302246094","22.431297302246094","24.003311157226562","24.003311157226562","24.003311157226562","24.032123565673828","24.032123565673828","24.032123565673828","23.402572631835938","23.402572631835938","23.402572631835938","26.299999237060547","26.299999237060547","26.299999237060547"
"29","20.615140914916992","20.615140914916992","20.615140914916992","19.87860107421875","19.87860107421875","19.87860107421875","21.820999145507812","21.820999145507812","21.820999145507812","22.381061553955078","22.381061553955078","22.381061553955078","21.431079864501953","21.431079864501953","21.431079864501953","24.549999237060547","24.549999237060547","24.549999237060547"
"30","17.83458137512207","17.83458137512207","17.83458137512207","16.88530921936035","16.88530921936035","16.88530921936035","19.412275314331055","19.412275314331055","19.412275314331055","21.1846923828125","21.1846923828125","21.1846923828125","19.534868240356445","19.534868240356445","19.534868240356445","22.8799991607666","22.8799991607666","22.8799991607666"
"31","16.04326057434082","16.04326057434082","16.04326057434082","15.452317237854004","15.452317237854004","15.452317237854004","18.89919090270996","18.89919090270996","18.89919090270996","18.982524871826172","18.982524871826172","18.982524871826172","18.376665115356445","18.376665115356445","18.376665115356445","19.450000762939453","19.450000762939453","19.450000762939453"
"32","16.105344772338867","16.105344772338867","16.105344772338867","15.415995597839355","15.415995597839355","15.415995597839355","15.641189575195312","15.641189575195312","15.641189575195312","16.298891067504883","16.298891067504883","16.298891067504883","15.367774963378906","15.367774963378906","15.367774963378906","19.079999923706055","19.079999923706055","19.079999923706055"
"33","15.378820419311523","15.378820419311523","15.378820419311523","13.451802253723145","13.451802253723145","13.451802253723145","14.374053001403809","14.374053001403809","14.374053001403809","14.64552116394043","14.64552116394043","14.64552116394043","14.278834342956543","14.278834342956543","14.278834342956543","17.059999465942383","17.059999465942383","17.059999465942383"
"34","14.621865272521973","14.621865272521973","14.621865272521973","13.835082054138184","13.835082054138184","13.835082054138184","13.938935279846191","13.938935279846191","13.938935279846191","14.297982215881348","14.297982215881348","14.297982215881348","14.119958877563477","14.119958877563477","14.119958877563477","16.209999084472656","16.209999084472656","16.209999084472656"
"35","15.004925727844238","15.004925727844238","15.004925727844238","14.77127742767334","14.77127742767334","14.77127742767334","14.431812286376953","14.431812286376953","14.431812286376953","14.666878700256348","14.666878700256348","14.666878700256348","13.836468696594238","13.836468696594238","13.836468696594238","15.3100004196167","15.3100004196167","15.3100004196167"
"36","15.220272064208984","15.220272064208984","15.220272064208984","15.132038116455078","15.132038116455078","15.132038116455078","15.064107894897461","15.064107894897461","15.064107894897461","13.993497848510742","13.993497848510742","13.993497848510742","14.418025970458984","14.418025970458984","14.418025970458984","18.420000076293945","18.420000076293945","18.420000076293945"
