"Step","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: SP15__MAX"
"0","2.117938995361328","2.117938995361328","2.117938995361328","4.529602527618408","4.529602527618408","4.529602527618408","3.9300625324249268","3.9300625324249268","3.9300625324249268","4.6015777587890625","4.6015777587890625","4.6015777587890625","8.88449478149414","8.88449478149414","8.88449478149414","4.5","4.5","4.5"
"1","9.998149871826172","9.998149871826172","9.998149871826172","10.499996185302734","10.499996185302734","10.499996185302734","8.331207275390625","8.331207275390625","8.331207275390625","10.814600944519043","10.814600944519043","10.814600944519043","14.081600189208984","14.081600189208984","14.081600189208984","16.809999465942383","16.809999465942383","16.809999465942383"
"2","19.50849151611328","19.50849151611328","19.50849151611328","17.89460563659668","17.89460563659668","17.89460563659668","14.422898292541504","14.422898292541504","14.422898292541504","19.663312911987305","19.663312911987305","19.663312911987305","20.20418930053711","20.20418930053711","20.20418930053711","19.049999237060547","19.049999237060547","19.049999237060547"
"3","24.167720794677734","24.167720794677734","24.167720794677734","22.08427619934082","22.08427619934082","22.08427619934082","20.377548217773438","20.377548217773438","20.377548217773438","23.33634376525879","23.33634376525879","23.33634376525879","23.131933212280273","23.131933212280273","23.131933212280273","31.920000076293945","31.920000076293945","31.920000076293945"
"4","25.013660430908203","25.013660430908203","25.013660430908203","22.554479598999023","22.554479598999023","22.554479598999023","22.380098342895508","22.380098342895508","22.380098342895508","22.515172958374023","22.515172958374023","22.515172958374023","23.42584800720215","23.42584800720215","23.42584800720215","22.100000381469727","22.100000381469727","22.100000381469727"
"5","23.106189727783203","23.106189727783203","23.106189727783203","20.710403442382812","20.710403442382812","20.710403442382812","21.278461456298828","21.278461456298828","21.278461456298828","20.692279815673828","20.692279815673828","20.692279815673828","22.29311180114746","22.29311180114746","22.29311180114746","20.209999084472656","20.209999084472656","20.209999084472656"
"6","19.40003204345703","19.40003204345703","19.40003204345703","18.17037010192871","18.17037010192871","18.17037010192871","19.44838523864746","19.44838523864746","19.44838523864746","17.49233055114746","17.49233055114746","17.49233055114746","19.7800350189209","19.7800350189209","19.7800350189209","20.299999237060547","20.299999237060547","20.299999237060547"
"7","17.132274627685547","17.132274627685547","17.132274627685547","15.929703712463379","15.929703712463379","15.929703712463379","17.74588394165039","17.74588394165039","17.74588394165039","15.138320922851562","15.138320922851562","15.138320922851562","17.0080509185791","17.0080509185791","17.0080509185791","18.549999237060547","18.549999237060547","18.549999237060547"
"8","15.497601509094238","15.497601509094238","15.497601509094238","14.632573127746582","14.632573127746582","14.632573127746582","14.336579322814941","14.336579322814941","14.336579322814941","14.065390586853027","14.065390586853027","14.065390586853027","14.06680965423584","14.06680965423584","14.06680965423584","15.5","15.5","15.5"
"9","15.707447052001953","15.707447052001953","15.707447052001953","13.885695457458496","13.885695457458496","13.885695457458496","13.32974910736084","13.32974910736084","13.32974910736084","13.546147346496582","13.546147346496582","13.546147346496582","13.99880599975586","13.99880599975586","13.99880599975586","15.149999618530273","15.149999618530273","15.149999618530273"
"10","16.766700744628906","16.766700744628906","16.766700744628906","14.182541847229004","14.182541847229004","14.182541847229004","13.458806037902832","13.458806037902832","13.458806037902832","13.773126602172852","13.773126602172852","13.773126602172852","14.706753730773926","14.706753730773926","14.706753730773926","13.699999809265137","13.699999809265137","13.699999809265137"
"11","18.031383514404297","18.031383514404297","18.031383514404297","14.67580509185791","14.67580509185791","14.67580509185791","14.712615966796875","14.712615966796875","14.712615966796875","14.43703556060791","14.43703556060791","14.43703556060791","16.675230026245117","16.675230026245117","16.675230026245117","14.510000228881836","14.510000228881836","14.510000228881836"
