"Step","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 1 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 2 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 3 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 4 - Spring predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Spring targets (24h) Hub: ZP26__MAX"
"0","2.5154480934143066","2.5154480934143066","2.5154480934143066","4.882433891296387","4.882433891296387","4.882433891296387","4.6155595779418945","4.6155595779418945","4.6155595779418945","5.144846439361572","5.144846439361572","5.144846439361572","9.414375305175781","9.414375305175781","9.414375305175781","4.800000190734863","4.800000190734863","4.800000190734863"
"1","10.266019821166992","10.266019821166992","10.266019821166992","10.730146408081055","10.730146408081055","10.730146408081055","8.84962272644043","8.84962272644043","8.84962272644043","11.171542167663574","11.171542167663574","11.171542167663574","14.416213035583496","14.416213035583496","14.416213035583496","17.40999984741211","17.40999984741211","17.40999984741211"
"2","19.551767349243164","19.551767349243164","19.551767349243164","18.015583038330078","18.015583038330078","18.015583038330078","14.688892364501953","14.688892364501953","14.688892364501953","19.6938419342041","19.6938419342041","19.6938419342041","20.28948211669922","20.28948211669922","20.28948211669922","19.329999923706055","19.329999923706055","19.329999923706055"
"3","24.009292602539062","24.009292602539062","24.009292602539062","22.111736297607422","22.111736297607422","22.111736297607422","20.340965270996094","20.340965270996094","20.340965270996094","23.13946533203125","23.13946533203125","23.13946533203125","23.0318546295166","23.0318546295166","23.0318546295166","32.40999984741211","32.40999984741211","32.40999984741211"
"4","24.77340316772461","24.77340316772461","24.77340316772461","22.477893829345703","22.477893829345703","22.477893829345703","22.16571617126465","22.16571617126465","22.16571617126465","22.28261947631836","22.28261947631836","22.28261947631836","23.295618057250977","23.295618057250977","23.295618057250977","22.59000015258789","22.59000015258789","22.59000015258789"
"5","22.91629409790039","22.91629409790039","22.91629409790039","20.569908142089844","20.569908142089844","20.569908142089844","21.107641220092773","21.107641220092773","21.107641220092773","20.539281845092773","20.539281845092773","20.539281845092773","22.239368438720703","22.239368438720703","22.239368438720703","20.649999618530273","20.649999618530273","20.649999618530273"
"6","19.330175399780273","19.330175399780273","19.330175399780273","18.009857177734375","18.009857177734375","18.009857177734375","19.401723861694336","19.401723861694336","19.401723861694336","17.443622589111328","17.443622589111328","17.443622589111328","19.850378036499023","19.850378036499023","19.850378036499023","20.65999984741211","20.65999984741211","20.65999984741211"
"7","17.142784118652344","17.142784118652344","17.142784118652344","15.779256820678711","15.779256820678711","15.779256820678711","17.810771942138672","17.810771942138672","17.810771942138672","15.185042381286621","15.185042381286621","15.185042381286621","17.18292236328125","17.18292236328125","17.18292236328125","18.93000030517578","18.93000030517578","18.93000030517578"
"8","15.512959480285645","15.512959480285645","15.512959480285645","14.5372953414917","14.5372953414917","14.5372953414917","14.450794219970703","14.450794219970703","14.450794219970703","14.164602279663086","14.164602279663086","14.164602279663086","14.249716758728027","14.249716758728027","14.249716758728027","15.829999923706055","15.829999923706055","15.829999923706055"
"9","15.726448059082031","15.726448059082031","15.726448059082031","13.829756736755371","13.829756736755371","13.829756736755371","13.439311027526855","13.439311027526855","13.439311027526855","13.667338371276855","13.667338371276855","13.667338371276855","14.164617538452148","14.164617538452148","14.164617538452148","15.550000190734863","15.550000190734863","15.550000190734863"
"10","16.754873275756836","16.754873275756836","16.754873275756836","14.170784950256348","14.170784950256348","14.170784950256348","13.519588470458984","13.519588470458984","13.519588470458984","13.908232688903809","13.908232688903809","13.908232688903809","14.853513717651367","14.853513717651367","14.853513717651367","14.069999694824219","14.069999694824219","14.069999694824219"
"11","17.952512741088867","17.952512741088867","17.952512741088867","14.715627670288086","14.715627670288086","14.715627670288086","14.736076354980469","14.736076354980469","14.736076354980469","14.58053970336914","14.58053970336914","14.58053970336914","16.857145309448242","16.857145309448242","16.857145309448242","14.880000114440918","14.880000114440918","14.880000114440918"
"12","19.233417510986328","19.233417510986328","19.233417510986328","16.285886764526367","16.285886764526367","16.285886764526367","16.55979347229004","16.55979347229004","16.55979347229004","15.520614624023438","15.520614624023438","15.520614624023438","18.77703857421875","18.77703857421875","18.77703857421875","17.209999084472656","17.209999084472656","17.209999084472656"
"13","20.70496368408203","20.70496368408203","20.70496368408203","17.68977928161621","17.68977928161621","17.68977928161621","18.312532424926758","18.312532424926758","18.312532424926758","16.612720489501953","16.612720489501953","16.612720489501953","19.724811553955078","19.724811553955078","19.724811553955078","19.18000030517578","19.18000030517578","19.18000030517578"
"14","20.986404418945312","20.986404418945312","20.986404418945312","17.472393035888672","17.472393035888672","17.472393035888672","18.583406448364258","18.583406448364258","18.583406448364258","17.720102310180664","17.720102310180664","17.720102310180664","18.61932373046875","18.61932373046875","18.61932373046875","24.90999984741211","24.90999984741211","24.90999984741211"
"15","16.923513412475586","16.923513412475586","16.923513412475586","15.12194538116455","15.12194538116455","15.12194538116455","16.83065414428711","16.83065414428711","16.83065414428711","15.527945518493652","15.527945518493652","15.527945518493652","16.29409408569336","16.29409408569336","16.29409408569336","20.850000381469727","20.850000381469727","20.850000381469727"
"16","13.101041793823242","13.101041793823242","13.101041793823242","12.788237571716309","12.788237571716309","12.788237571716309","14.848867416381836","14.848867416381836","14.848867416381836","12.851966857910156","12.851966857910156","12.851966857910156","14.1043119430542","14.1043119430542","14.1043119430542","9.619999885559082","9.619999885559082","9.619999885559082"
"17","12.307441711425781","12.307441711425781","12.307441711425781","12.479910850524902","12.479910850524902","12.479910850524902","13.408224105834961","13.408224105834961","13.408224105834961","11.384575843811035","11.384575843811035","11.384575843811035","12.587215423583984","12.587215423583984","12.587215423583984","5.090000152587891","5.090000152587891","5.090000152587891"
