"Step","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: ZP26__MAX","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: ZP26","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: ZP26__MIN","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: ZP26__MAX"
"0","29.78512954711914","29.78512954711914","29.78512954711914","26.67044448852539","26.67044448852539","26.67044448852539","25.329317092895508","25.329317092895508","25.329317092895508","28.1933536529541","28.1933536529541","28.1933536529541","35.00959777832031","35.00959777832031","35.00959777832031","27.610000610351562","27.610000610351562","27.610000610351562"
"1","30.128923416137695","30.128923416137695","30.128923416137695","25.325225830078125","25.325225830078125","25.325225830078125","25.516738891601562","25.516738891601562","25.516738891601562","31.161270141601562","31.161270141601562","31.161270141601562","31.061004638671875","31.061004638671875","31.061004638671875","28.809999465942383","28.809999465942383","28.809999465942383"
"2","25.56321907043457","25.56321907043457","25.56321907043457","22.017560958862305","22.017560958862305","22.017560958862305","23.092870712280273","23.092870712280273","23.092870712280273","28.317882537841797","28.317882537841797","28.317882537841797","24.529949188232422","24.529949188232422","24.529949188232422","28.469999313354492","28.469999313354492","28.469999313354492"
"3","23.644813537597656","23.644813537597656","23.644813537597656","21.957275390625","21.957275390625","21.957275390625","20.458972930908203","20.458972930908203","20.458972930908203","28.174089431762695","28.174089431762695","28.174089431762695","21.8491268157959","21.8491268157959","21.8491268157959","21.309999465942383","21.309999465942383","21.309999465942383"
"4","22.430946350097656","22.430946350097656","22.430946350097656","21.551761627197266","21.551761627197266","21.551761627197266","18.517866134643555","18.517866134643555","18.517866134643555","27.91912841796875","27.91912841796875","27.91912841796875","20.18487548828125","20.18487548828125","20.18487548828125","17.65999984741211","17.65999984741211","17.65999984741211"
"5","21.07254981994629","21.07254981994629","21.07254981994629","23.36383056640625","23.36383056640625","23.36383056640625","17.601308822631836","17.601308822631836","17.601308822631836","25.825742721557617","25.825742721557617","25.825742721557617","21.036937713623047","21.036937713623047","21.036937713623047","13.949999809265137","13.949999809265137","13.949999809265137"
"6","25.248048782348633","25.248048782348633","25.248048782348633","26.999832153320312","26.999832153320312","26.999832153320312","18.70635223388672","18.70635223388672","18.70635223388672","25.561426162719727","25.561426162719727","25.561426162719727","26.40862464904785","26.40862464904785","26.40862464904785","20.770000457763672","20.770000457763672","20.770000457763672"
"7","26.97918701171875","26.97918701171875","26.97918701171875","30.343219757080078","30.343219757080078","30.343219757080078","21.459135055541992","21.459135055541992","21.459135055541992","25.028135299682617","25.028135299682617","25.028135299682617","29.927104949951172","29.927104949951172","29.927104949951172","24.860000610351562","24.860000610351562","24.860000610351562"
"8","27.328407287597656","27.328407287597656","27.328407287597656","31.335166931152344","31.335166931152344","31.335166931152344","24.78462028503418","24.78462028503418","24.78462028503418","25.31736946105957","25.31736946105957","25.31736946105957","32.8575325012207","32.8575325012207","32.8575325012207","27.190000534057617","27.190000534057617","27.190000534057617"
"9","28.757448196411133","28.757448196411133","28.757448196411133","33.6345329284668","33.6345329284668","33.6345329284668","27.693418502807617","27.693418502807617","27.693418502807617","27.1385555267334","27.1385555267334","27.1385555267334","36.1540641784668","36.1540641784668","36.1540641784668","28.540000915527344","28.540000915527344","28.540000915527344"
"10","28.811155319213867","28.811155319213867","28.811155319213867","34.09199905395508","34.09199905395508","34.09199905395508","28.655616760253906","28.655616760253906","28.655616760253906","28.449298858642578","28.449298858642578","28.449298858642578","39.04669189453125","39.04669189453125","39.04669189453125","31.809999465942383","31.809999465942383","31.809999465942383"
"11","32.238250732421875","32.238250732421875","32.238250732421875","38.50687026977539","38.50687026977539","38.50687026977539","30.652799606323242","30.652799606323242","30.652799606323242","30.2010440826416","30.2010440826416","30.2010440826416","42.34403610229492","42.34403610229492","42.34403610229492","36.40999984741211","36.40999984741211","36.40999984741211"
"12","45.33854293823242","45.33854293823242","45.33854293823242","50.8321647644043","50.8321647644043","50.8321647644043","44.64882278442383","44.64882278442383","44.64882278442383","38.939598083496094","38.939598083496094","38.939598083496094","51.82294464111328","51.82294464111328","51.82294464111328","79.30999755859375","79.30999755859375","79.30999755859375"
"13","59.416439056396484","59.416439056396484","59.416439056396484","60.008609771728516","60.008609771728516","60.008609771728516","62.756919860839844","62.756919860839844","62.756919860839844","47.86848831176758","47.86848831176758","47.86848831176758","59.045570373535156","59.045570373535156","59.045570373535156","70.77999877929688","70.77999877929688","70.77999877929688"
"14","53.727294921875","53.727294921875","53.727294921875","56.08112716674805","56.08112716674805","56.08112716674805","47.80258560180664","47.80258560180664","47.80258560180664","48.511959075927734","48.511959075927734","48.511959075927734","51.9765739440918","51.9765739440918","51.9765739440918","53.52000045776367","53.52000045776367","53.52000045776367"
"15","45.892398834228516","45.892398834228516","45.892398834228516","47.07583236694336","47.07583236694336","47.07583236694336","39.654178619384766","39.654178619384766","39.654178619384766","42.61829376220703","42.61829376220703","42.61829376220703","43.20398712158203","43.20398712158203","43.20398712158203","44.2400016784668","44.2400016784668","44.2400016784668"
"16","41.253658294677734","41.253658294677734","41.253658294677734","42.0820198059082","42.0820198059082","42.0820198059082","35.22352600097656","35.22352600097656","35.22352600097656","37.628849029541016","37.628849029541016","37.628849029541016","38.66767120361328","38.66767120361328","38.66767120361328","43.02000045776367","43.02000045776367","43.02000045776367"
