"Step","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: SP15__MAX","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: SP15__MAX"
"0","29.313066482543945","29.313066482543945","29.313066482543945","26.1490535736084","26.1490535736084","26.1490535736084","24.59589195251465","24.59589195251465","24.59589195251465","27.911996841430664","27.911996841430664","27.911996841430664","35.07072448730469","35.07072448730469","35.07072448730469","27.450000762939453","27.450000762939453","27.450000762939453"
"1","29.718503952026367","29.718503952026367","29.718503952026367","24.857995986938477","24.857995986938477","24.857995986938477","24.709457397460938","24.709457397460938","24.709457397460938","31.014034271240234","31.014034271240234","31.014034271240234","31.01976776123047","31.01976776123047","31.01976776123047","28.729999542236328","28.729999542236328","28.729999542236328"
"2","25.21855354309082","25.21855354309082","25.21855354309082","21.65549659729004","21.65549659729004","21.65549659729004","22.389863967895508","22.389863967895508","22.389863967895508","28.086952209472656","28.086952209472656","28.086952209472656","24.443878173828125","24.443878173828125","24.443878173828125","28.020000457763672","28.020000457763672","28.020000457763672"
"3","23.433181762695312","23.433181762695312","23.433181762695312","21.656496047973633","21.656496047973633","21.656496047973633","19.913339614868164","19.913339614868164","19.913339614868164","27.994583129882812","27.994583129882812","27.994583129882812","21.84817886352539","21.84817886352539","21.84817886352539","21.670000076293945","21.670000076293945","21.670000076293945"
"4","22.3054256439209","22.3054256439209","22.3054256439209","21.274118423461914","21.274118423461914","21.274118423461914","18.133752822875977","18.133752822875977","18.133752822875977","27.737369537353516","27.737369537353516","27.737369537353516","20.229480743408203","20.229480743408203","20.229480743408203","17.219999313354492","17.219999313354492","17.219999313354492"
"5","21.018726348876953","21.018726348876953","21.018726348876953","23.092809677124023","23.092809677124023","23.092809677124023","17.352148056030273","17.352148056030273","17.352148056030273","25.61473846435547","25.61473846435547","25.61473846435547","21.11184310913086","21.11184310913086","21.11184310913086","14.520000457763672","14.520000457763672","14.520000457763672"
"6","25.146413803100586","25.146413803100586","25.146413803100586","26.679821014404297","26.679821014404297","26.679821014404297","18.428699493408203","18.428699493408203","18.428699493408203","25.360870361328125","25.360870361328125","25.360870361328125","26.477642059326172","26.477642059326172","26.477642059326172","20.81999969482422","20.81999969482422","20.81999969482422"
"7","26.733867645263672","26.733867645263672","26.733867645263672","30.011404037475586","30.011404037475586","30.011404037475586","21.086082458496094","21.086082458496094","21.086082458496094","24.829750061035156","24.829750061035156","24.829750061035156","29.981128692626953","29.981128692626953","29.981128692626953","24.780000686645508","24.780000686645508","24.780000686645508"
"8","27.025501251220703","27.025501251220703","27.025501251220703","31.025959014892578","31.025959014892578","31.025959014892578","24.267894744873047","24.267894744873047","24.267894744873047","25.165616989135742","25.165616989135742","25.165616989135742","32.95671081542969","32.95671081542969","32.95671081542969","26.790000915527344","26.790000915527344","26.790000915527344"
"9","28.452585220336914","28.452585220336914","28.452585220336914","33.37907028198242","33.37907028198242","33.37907028198242","27.070877075195312","27.070877075195312","27.070877075195312","27.06083106994629","27.06083106994629","27.06083106994629","36.34912872314453","36.34912872314453","36.34912872314453","28.75","28.75","28.75"
"10","28.516042709350586","28.516042709350586","28.516042709350586","33.913875579833984","33.913875579833984","33.913875579833984","27.987295150756836","27.987295150756836","27.987295150756836","28.453798294067383","28.453798294067383","28.453798294067383","39.400638580322266","39.400638580322266","39.400638580322266","32.220001220703125","32.220001220703125","32.220001220703125"
"11","32.104949951171875","32.104949951171875","32.104949951171875","38.59526062011719","38.59526062011719","38.59526062011719","30.07793617248535","30.07793617248535","30.07793617248535","30.346332550048828","30.346332550048828","30.346332550048828","42.94197082519531","42.94197082519531","42.94197082519531","36.95000076293945","36.95000076293945","36.95000076293945"
"12","45.74423599243164","45.74423599243164","45.74423599243164","51.379390716552734","51.379390716552734","51.379390716552734","44.557552337646484","44.557552337646484","44.557552337646484","39.47264862060547","39.47264862060547","39.47264862060547","52.9955940246582","52.9955940246582","52.9955940246582","78.55999755859375","78.55999755859375","78.55999755859375"
"13","60.49418640136719","60.49418640136719","60.49418640136719","60.805381774902344","60.805381774902344","60.805381774902344","63.19883346557617","63.19883346557617","63.19883346557617","48.728153228759766","48.728153228759766","48.728153228759766","60.64834213256836","60.64834213256836","60.64834213256836","69.66000366210938","69.66000366210938","69.66000366210938"
"14","54.397335052490234","54.397335052490234","54.397335052490234","56.39278030395508","56.39278030395508","56.39278030395508","47.73309326171875","47.73309326171875","47.73309326171875","49.190067291259766","49.190067291259766","49.190067291259766","53.05281066894531","53.05281066894531","53.05281066894531","53.2599983215332","53.2599983215332","53.2599983215332"
"15","46.04682922363281","46.04682922363281","46.04682922363281","46.63222122192383","46.63222122192383","46.63222122192383","39.449066162109375","39.449066162109375","39.449066162109375","42.72441482543945","42.72441482543945","42.72441482543945","43.65923309326172","43.65923309326172","43.65923309326172","43.45000076293945","43.45000076293945","43.45000076293945"
"16","41.10468292236328","41.10468292236328","41.10468292236328","41.305362701416016","41.305362701416016","41.305362701416016","34.96487808227539","34.96487808227539","34.96487808227539","37.33542251586914","37.33542251586914","37.33542251586914","38.823631286621094","38.823631286621094","38.823631286621094","42","42","42"
"17","37.898109436035156","37.898109436035156","37.898109436035156","36.87342071533203","36.87342071533203","36.87342071533203","30.345558166503906","30.345558166503906","30.345558166503906","32.68919372558594","32.68919372558594","32.68919372558594","35.89353942871094","35.89353942871094","35.89353942871094","33.540000915527344","33.540000915527344","33.540000915527344"
"18","35.7679557800293","35.7679557800293","35.7679557800293","35.165130615234375","35.165130615234375","35.165130615234375","27.020139694213867","27.020139694213867","27.020139694213867","30.44411849975586","30.44411849975586","30.44411849975586","35.20632553100586","35.20632553100586","35.20632553100586","32.040000915527344","32.040000915527344","32.040000915527344"
"19","31.787792205810547","31.787792205810547","31.787792205810547","31.17495346069336","31.17495346069336","31.17495346069336","25.533222198486328","25.533222198486328","25.533222198486328","27.19797706604004","27.19797706604004","27.19797706604004","31.78070068359375","31.78070068359375","31.78070068359375","29.34000015258789","29.34000015258789","29.34000015258789"
"20","28.505107879638672","28.505107879638672","28.505107879638672","28.414371490478516","28.414371490478516","28.414371490478516","24.43548011779785","24.43548011779785","24.43548011779785","26.685829162597656","26.685829162597656","26.685829162597656","30.537078857421875","30.537078857421875","30.537078857421875","26.6200008392334","26.6200008392334","26.6200008392334"
"21","28.161911010742188","28.161911010742188","28.161911010742188","28.282337188720703","28.282337188720703","28.282337188720703","23.61052703857422","23.61052703857422","23.61052703857422","27.031383514404297","27.031383514404297","27.031383514404297","30.762699127197266","30.762699127197266","30.762699127197266","29.010000228881836","29.010000228881836","29.010000228881836"
"22","28.267080307006836","28.267080307006836","28.267080307006836","29.007787704467773","29.007787704467773","29.007787704467773","23.47001075744629","23.47001075744629","23.47001075744629","27.36617088317871","27.36617088317871","27.36617088317871","30.88286590576172","30.88286590576172","30.88286590576172","33.439998626708984","33.439998626708984","33.439998626708984"
"23","27.961931228637695","27.961931228637695","27.961931228637695","29.61909294128418","29.61909294128418","29.61909294128418","23.567726135253906","23.567726135253906","23.567726135253906","26.95755386352539","26.95755386352539","26.95755386352539","30.010128021240234","30.010128021240234","30.010128021240234","41.90999984741211","41.90999984741211","41.90999984741211"
"24","34.67496109008789","34.67496109008789","34.67496109008789","31.04236602783203","31.04236602783203","31.04236602783203","28.511613845825195","28.511613845825195","28.511613845825195","37.469173431396484","37.469173431396484","37.469173431396484","29.08313751220703","29.08313751220703","29.08313751220703","37.790000915527344","37.790000915527344","37.790000915527344"
"25","31.556549072265625","31.556549072265625","31.556549072265625","29.526025772094727","29.526025772094727","29.526025772094727","22.921072006225586","22.921072006225586","22.921072006225586","33.29971694946289","33.29971694946289","33.29971694946289","25.75680923461914","25.75680923461914","25.75680923461914","36.38999938964844","36.38999938964844","36.38999938964844"
"26","24.214935302734375","24.214935302734375","24.214935302734375","27.044673919677734","27.044673919677734","27.044673919677734","18.348474502563477","18.348474502563477","18.348474502563477","27.20218849182129","27.20218849182129","27.20218849182129","20.926212310791016","20.926212310791016","20.926212310791016","33.34000015258789","33.34000015258789","33.34000015258789"
"27","23.399200439453125","23.399200439453125","23.399200439453125","29.21202850341797","29.21202850341797","29.21202850341797","19.117406845092773","19.117406845092773","19.117406845092773","30.703386306762695","30.703386306762695","30.703386306762695","21.666868209838867","21.666868209838867","21.666868209838867","25.899999618530273","25.899999618530273","25.899999618530273"
"28","30.109607696533203","30.109607696533203","30.109607696533203","29.936010360717773","29.936010360717773","29.936010360717773","24.740400314331055","24.740400314331055","24.740400314331055","34.7178840637207","34.7178840637207","34.7178840637207","27.015392303466797","27.015392303466797","27.015392303466797","29.350000381469727","29.350000381469727","29.350000381469727"
"29","35.797908782958984","35.797908782958984","35.797908782958984","31.239971160888672","31.239971160888672","31.239971160888672","29.48887825012207","29.48887825012207","29.48887825012207","40.81409454345703","40.81409454345703","40.81409454345703","31.40387725830078","31.40387725830078","31.40387725830078","31.209999084472656","31.209999084472656","31.209999084472656"
"30","38.479976654052734","38.479976654052734","38.479976654052734","33.404693603515625","33.404693603515625","33.404693603515625","31.528257369995117","31.528257369995117","31.528257369995117","41.01359176635742","41.01359176635742","41.01359176635742","32.03285598754883","32.03285598754883","32.03285598754883","31","31","31"
"31","37.871463775634766","37.871463775634766","37.871463775634766","35.73920440673828","35.73920440673828","35.73920440673828","34.44152069091797","34.44152069091797","34.44152069091797","41.056884765625","41.056884765625","41.056884765625","31.910558700561523","31.910558700561523","31.910558700561523","37.540000915527344","37.540000915527344","37.540000915527344"
"32","38.25291061401367","38.25291061401367","38.25291061401367","39.65106201171875","39.65106201171875","39.65106201171875","32.251312255859375","32.251312255859375","32.251312255859375","41.578189849853516","41.578189849853516","41.578189849853516","31.525753021240234","31.525753021240234","31.525753021240234","38.59000015258789","38.59000015258789","38.59000015258789"
"33","40.77755355834961","40.77755355834961","40.77755355834961","47.38737869262695","47.38737869262695","47.38737869262695","35.41994094848633","35.41994094848633","35.41994094848633","52.69015121459961","52.69015121459961","52.69015121459961","37.612796783447266","37.612796783447266","37.612796783447266","44.529998779296875","44.529998779296875","44.529998779296875"
"34","44.56846237182617","44.56846237182617","44.56846237182617","54.514564514160156","54.514564514160156","54.514564514160156","46.30107116699219","46.30107116699219","46.30107116699219","68.64961242675781","68.64961242675781","68.64961242675781","52.51019287109375","52.51019287109375","52.51019287109375","46.86000061035156","46.86000061035156","46.86000061035156"
