"Step","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 1 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 2 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 3 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 4 - Fall predictions (24h) Hub: NP15__MAX","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15__MIN","visionary-sweep-1 - Ensamble 0 - Fall targets (24h) Hub: NP15__MAX"
"0","32.24521255493164","32.24521255493164","32.24521255493164","29.841289520263672","29.841289520263672","29.841289520263672","27.32769775390625","27.32769775390625","27.32769775390625","31.22472381591797","31.22472381591797","31.22472381591797","37.674644470214844","37.674644470214844","37.674644470214844","28.270000457763672","28.270000457763672","28.270000457763672"
"1","32.900821685791016","32.900821685791016","32.900821685791016","28.739971160888672","28.739971160888672","28.739971160888672","27.851104736328125","27.851104736328125","27.851104736328125","34.24555587768555","34.24555587768555","34.24555587768555","34.01339340209961","34.01339340209961","34.01339340209961","29.34000015258789","29.34000015258789","29.34000015258789"
"2","28.86029815673828","28.86029815673828","28.86029815673828","25.665576934814453","25.665576934814453","25.665576934814453","26.185874938964844","26.185874938964844","26.185874938964844","31.654361724853516","31.654361724853516","31.654361724853516","27.993955612182617","27.993955612182617","27.993955612182617","29.860000610351562","29.860000610351562","29.860000610351562"
"3","27.356327056884766","27.356327056884766","27.356327056884766","25.72914695739746","25.72914695739746","25.72914695739746","24.28800392150879","24.28800392150879","24.28800392150879","31.7040958404541","31.7040958404541","31.7040958404541","25.669286727905273","25.669286727905273","25.669286727905273","23.34000015258789","23.34000015258789","23.34000015258789"
"4","26.41704559326172","26.41704559326172","26.41704559326172","25.416044235229492","25.416044235229492","25.416044235229492","22.842971801757812","22.842971801757812","22.842971801757812","31.58985710144043","31.58985710144043","31.58985710144043","24.21602439880371","24.21602439880371","24.21602439880371","19.700000762939453","19.700000762939453","19.700000762939453"
"5","25.22983741760254","25.22983741760254","25.22983741760254","27.14727210998535","27.14727210998535","27.14727210998535","22.066110610961914","22.066110610961914","22.066110610961914","29.6838436126709","29.6838436126709","29.6838436126709","25.224781036376953","25.224781036376953","25.224781036376953","20.40999984741211","20.40999984741211","20.40999984741211"
"6","29.37188720703125","29.37188720703125","29.37188720703125","30.759464263916016","30.759464263916016","30.759464263916016","23.18804168701172","23.18804168701172","23.18804168701172","29.61077880859375","29.61077880859375","29.61077880859375","30.591272354125977","30.591272354125977","30.591272354125977","22.299999237060547","22.299999237060547","22.299999237060547"
"7","30.884899139404297","30.884899139404297","30.884899139404297","34.03453063964844","34.03453063964844","34.03453063964844","25.924468994140625","25.924468994140625","25.924468994140625","29.244888305664062","29.244888305664062","29.244888305664062","33.89585876464844","33.89585876464844","33.89585876464844","26.920000076293945","26.920000076293945","26.920000076293945"
"8","31.094987869262695","31.094987869262695","31.094987869262695","35.016937255859375","35.016937255859375","35.016937255859375","29.091796875","29.091796875","29.091796875","29.653146743774414","29.653146743774414","29.653146743774414","36.534610748291016","36.534610748291016","36.534610748291016","29.889999389648438","29.889999389648438","29.889999389648438"
"9","32.428749084472656","32.428749084472656","32.428749084472656","37.22357177734375","37.22357177734375","37.22357177734375","31.867218017578125","31.867218017578125","31.867218017578125","31.515024185180664","31.515024185180664","31.515024185180664","39.565982818603516","39.565982818603516","39.565982818603516","30.850000381469727","30.850000381469727","30.850000381469727"
