"Name","Total_Average_MAE_Loss","feature_index"
"revived-sweep-23","14.98461945567812","26"
"stellar-sweep-21","14.359266434397018","24"
"grateful-sweep-20","14.011158653667996","23"
"distinctive-sweep-16","11.166989982128143","19"
"worthy-sweep-25","9.548951251166208","28"
"giddy-sweep-14","8.606365514653069","17"
"polar-sweep-15","8.01135105746133","18"
"firm-sweep-137","7.978279837540218","140"
"firm-sweep-67","7.799606638295311","70"
"super-sweep-225","7.799127638339996","228"
"volcanic-sweep-132","7.776481526238579","135"
"golden-sweep-85","7.773880098547254","88"
"vocal-sweep-286","7.76891872712544","289"
"autumn-sweep-55","7.763416422264917","58"
"efficient-sweep-333","7.7126200667449405","336"
"smart-sweep-68","7.706906075988497","71"
"brisk-sweep-116","7.704460569790431","119"
"olive-sweep-122","7.69768254671778","125"
"sweet-sweep-217","7.695796928235462","220"
"comic-sweep-256","7.662133199828013","259"
"sunny-sweep-5","7.649753434317454","8"
"sparkling-sweep-40","7.641967943736485","43"
"spring-sweep-178","7.640676319599152","181"
"lemon-sweep-187","7.593057802745274","190"
"misunderstood-sweep-182","7.584331469876426","185"
"absurd-sweep-282","7.583621314593724","285"
"fragrant-sweep-299","7.581166693142482","302"
"tough-sweep-229","7.572936126164027","232"
"serene-sweep-168","7.5708095005580365","171"
"frosty-sweep-39","7.551368236541748","42"
"pious-sweep-128","7.549151318413871","131"
"icy-sweep-278","7.54628764305796","281"
"fresh-sweep-35","7.522938702787672","38"
"lemon-sweep-96","7.513933079583304","99"
"crimson-sweep-148","7.498508742877416","151"
"crimson-sweep-326","7.473586580583028","329"
"light-sweep-264","7.4717612862586975","267"
"rosy-sweep-162","7.465383095400675","165"
"royal-sweep-298","7.461714714765549","301"
"stilted-sweep-332","7.451689128364835","335"
"restful-sweep-139","7.447945096663067","142"
"major-sweep-138","7.441792547702789","141"
"fallen-sweep-159","7.440317503043584","162"
"devout-sweep-361","7.438829532691411","364"
"pleasant-sweep-325","7.433019063302449","328"
"gentle-sweep-43","7.43217905504363","46"
"vocal-sweep-114","7.430265281881605","117"
"comic-sweep-69","7.429495002542224","72"
"dutiful-sweep-338","7.427069889647619","341"
"ethereal-sweep-355","7.421830858503069","358"
"divine-sweep-207","7.420814079897744","210"
"dazzling-sweep-336","7.416967306818281","339"
"fluent-sweep-12","7.410185277462006","15"
"resilient-sweep-293","7.405777577842985","296"
"lively-sweep-330","7.402699572699412","333"
"dutiful-sweep-268","7.401958529438291","271"
"feasible-sweep-311","7.400115536791938","314"
"fresh-sweep-352","7.397108827318464","355"
"happy-sweep-108","7.396154033286231","111"
"proud-sweep-262","7.392428832394737","265"
"pretty-sweep-7","7.39049083845956","10"
"bright-sweep-252","7.389782522405897","255"
"rare-sweep-146","7.387180771146502","149"
"resilient-sweep-176","7.385207682847977","179"
"radiant-sweep-359","7.3833029483045856","362"
"rich-sweep-64","7.37904354929924","67"
"lucky-sweep-321","7.376268953084946","324"
"polar-sweep-79","7.367594978639058","82"
"royal-sweep-50","7.36574627671923","53"
"laced-sweep-314","7.3590735239642","317"
"visionary-sweep-202","7.357966265508106","205"
"vocal-sweep-328","7.350587065730776","331"
"playful-sweep-296","7.35043798174177","299"
"morning-sweep-369","7.340812078544071","372"
"curious-sweep-274","7.3401424544198175","277"
"chocolate-sweep-118","7.336396319525583","121"
"summer-sweep-255","7.333961350577217","258"
"swift-sweep-350","7.332385999815805","353"
"desert-sweep-360","7.327592040811267","363"
"golden-sweep-89","7.324173791067941","92"
"sandy-sweep-241","7.320667705365589","244"
"super-sweep-292","7.319660442216056","295"
"royal-sweep-57","7.31861539397921","60"
"royal-sweep-37","7.316865495273046","40"
"iconic-sweep-208","7.315229309456689","211"
"floral-sweep-205","7.315181987626212","208"
"revived-sweep-324","7.31511265039444","327"
"fallen-sweep-353","7.314403963940484","356"
"pious-sweep-315","7.313741007021496","318"
"balmy-sweep-318","7.310291281768254","321"
"autumn-sweep-231","7.307118190186364","234"
"fluent-sweep-214","7.304622420242854","217"
"lunar-sweep-345","7.302387024675097","348"
"fragrant-sweep-258","7.302057359899793","261"
"denim-sweep-312","7.300844371318817","315"
"rosy-sweep-13","7.298178017139435","16"
