hour,DAM_SP15,DAM_NP15,DAM_ZP26
2022-04-05 00:00:00,38.13611,42.41,38.60206
2022-04-05 05:00:00,55.80194,59.21391,57.78779
2022-04-05 02:00:00,78.32153,82.77016,81.75686
2022-04-05 01:00:00,62.87626,66.32485,64.57147
2022-04-05 04:00:00,61.88506,62.51896,63.1
2022-04-05 06:00:00,51.75842,56.27765,54.57209
2022-04-05 03:00:00,71.60999,75.62902,74.54299
2022-04-05 20:00:00,9.83257,12.86915,0.32154
2022-04-05 10:00:00,44.68614,46.45,45.10254
2022-04-05 14:00:00,58.61956,63.94458,60.17084
2022-04-05 23:00:00,24.09516,25.56052,17.01969
2022-04-05 09:00:00,44.94547,46.65714,45.37809
2022-04-05 12:00:00,56.59214,59.57413,57.31975
2022-04-05 07:00:00,47.92635,50.2514,48.73001
2022-04-05 08:00:00,46.69549,48.80821,47.29843
2022-04-05 16:00:00,16.30871,38.68415,6.87057
2022-04-05 22:00:00,16.59965,16.71185,7.17
2022-04-05 13:00:00,72.39485,75.79933,73.60092
2022-04-05 21:00:00,12.09394,15.01591,4.18333
2022-04-05 19:00:00,10.39935,16.02927,-1.03453
2022-04-05 18:00:00,10.90445,20.71099,-0.26371
2022-04-05 17:00:00,10.92721,28.88258,0.0
2022-04-05 11:00:00,48.01283,50.09706,48.52633
2022-04-05 15:00:00,33.1,46.47316,28.28596
2022-02-14 07:00:00,42.69561,43.91611,42.17822
2022-02-14 05:00:00,46.98626,48.42237,46.34147
2022-02-14 03:00:00,53.00052,54.33338,52.00914
2022-02-14 04:00:00,48.83113,50.43065,48.0925
2022-02-14 02:00:00,57.59091,58.78051,56.57467
2022-02-14 01:00:00,57.02016,57.59689,55.64306
2022-02-14 06:00:00,44.42557,45.58654,43.8589
2022-02-14 00:00:00,43.83853,45.88988,43.22037
2022-02-14 23:00:00,30.62339,32.54,30.21664
2022-02-14 22:00:00,21.77825,22.21,20.50944
2022-02-14 19:00:00,21.48589,24.12083,21.76
2022-02-14 10:00:00,37.50714,38.78213,37.14564
2022-02-14 17:00:00,22.067,36.2608,20.35781
2022-02-14 20:00:00,20.0812,21.92556,20.23955
2022-02-14 08:00:00,39.35859,40.80467,38.94193
2022-02-14 14:00:00,53.67124,56.25591,53.66
2022-02-14 12:00:00,40.58309,42.04437,40.19145
2022-02-14 16:00:00,29.23,43.04999,27.08705
2022-02-14 21:00:00,18.75321,20.13561,18.62118
2022-02-14 09:00:00,38.73395,39.85551,38.31336
2022-02-14 11:00:00,37.41346,38.61872,37.03367
2022-02-14 13:00:00,45.84274,47.50109,45.47105
2022-02-14 18:00:00,21.43033,27.43366,21.13332
2022-02-14 15:00:00,43.87,47.46202,44.15856
2022-01-04 04:00:00,87.56517,89.16603,86.12804
2022-01-04 03:00:00,96.57795,98.46848,95.15
2022-01-04 00:00:00,88.84038,90.70721,87.62048
2022-01-04 02:00:00,106.01051,108.16519,104.35306
2022-01-04 06:00:00,73.82088,73.76011,72.1497
2022-01-04 01:00:00,118.39322,120.51443,117.03663
2022-01-04 07:00:00,66.4597,65.66552,64.40298
2022-01-04 05:00:00,77.02145,78.00104,75.49233
2022-01-04 10:00:00,51.06826,50.23424,49.64
2022-01-04 13:00:00,59.32763,59.80514,58.42771
2022-01-04 11:00:00,50.48933,50.41167,49.40198
2022-01-04 22:00:00,40.05863,48.09787,37.4458
2022-01-04 19:00:00,34.52654,47.27323,31.71147
2022-01-04 16:00:00,58.36407,60.46623,57.6654
2022-01-04 08:00:00,53.85454,53.52858,52.47889
2022-01-04 15:00:00,78.40198,80.51365,77.48528
2022-01-04 09:00:00,51.5709,51.21144,50.28638
2022-01-04 14:00:00,82.71461,83.69014,81.44814
2022-01-04 23:00:00,56.46015,58.27287,55.00761
2022-01-04 12:00:00,51.30543,50.8799,50.05511
2022-01-04 20:00:00,33.87618,47.63593,31.13443
2022-01-04 21:00:00,35.3396,47.75049,32.28954
2022-01-04 17:00:00,48.77462,53.0,47.42073
2022-01-04 18:00:00,40.1064,52.49102,37.35
2022-06-05 06:00:00,73.09718,77.17446,73.46566
2022-06-05 04:00:00,101.6,100.19931,87.37572
2022-06-05 03:00:00,107.07739,105.49541,104.0683
2022-06-05 01:00:00,75.73699,77.61641,74.15184
2022-06-05 05:00:00,80.08922,82.98035,79.5651
