hour,TH_NP15_GEN-APND,TH_SP15_GEN-APND,TH_ZP26_GEN-APND
2019-07-18 00:00:00,15.9,19.05,16.33
2019-07-18 01:00:00,17.58,19.68,18.3
2019-07-18 02:00:00,23.49,25.32,24.66
2019-07-18 03:00:00,22.4,22.97,22.74
2019-07-18 04:00:00,20.1,20.85,20.55
2019-07-18 05:00:00,16.33,17.08,16.83
2019-07-18 06:00:00,12.69,13.13,13.01
2019-07-18 07:00:00,14.58,14.96,14.86
2019-07-18 08:00:00,13.57,13.89,13.84
2019-07-18 09:00:00,13.7,13.92,13.91
2019-07-18 10:00:00,13.56,13.8,13.77
2019-07-18 11:00:00,14.47,14.77,14.73
2019-07-18 12:00:00,15.05,15.55,15.41
2019-07-18 13:00:00,14.77,15.28,15.09
2019-07-18 14:00:00,13.15,13.05,13.05
2019-07-18 15:00:00,10.42,9.99,10.01
2019-07-18 16:00:00,11.45,10.86,10.87
2019-07-18 17:00:00,11.52,10.92,10.9
2019-07-18 18:00:00,11.16,10.95,10.81
2019-07-18 19:00:00,14.57,14.52,14.21
2019-07-18 20:00:00,19.32,19.55,19.17
2019-07-18 21:00:00,15.56,16.14,15.55
2019-07-18 22:00:00,17.07,18.13,17.31
2019-07-18 23:00:00,14.35,15.61,14.86
2019-07-19 00:00:00,15.7,15.91,15.6
2019-07-19 01:00:00,19.18,19.93,19.46
2019-07-19 02:00:00,19.74,21.06,20.47
2019-07-19 03:00:00,22.23,23.84,23.13
2019-07-19 04:00:00,18.32,19.22,18.86
2019-07-19 05:00:00,15.52,15.85,15.81
2019-07-19 06:00:00,14.86,15.0,14.99
2019-07-19 07:00:00,13.4,13.71,13.65
2019-07-19 08:00:00,13.36,13.48,13.51
2019-07-19 09:00:00,12.78,12.7,12.8
2019-07-19 10:00:00,12.39,12.3,12.39
2019-07-19 11:00:00,12.24,12.17,12.26
2019-07-19 12:00:00,13.56,13.54,13.6
2019-07-19 13:00:00,13.28,13.28,13.28
2019-07-19 14:00:00,12.54,12.31,12.32
2019-07-19 15:00:00,10.84,10.74,10.73
2019-07-19 16:00:00,11.53,11.03,10.99
